Lon	Lat	x	y	BigCellTypeID
-35	-40	-32.5	-42.5	2
-20	-30	-17.5	-32.5	2
-95	-15	-92.5	-17.5	2
-150	-40	-147.5	-42.5	2
-140	-40	-137.5	-42.5	2
-140	-35	-137.5	-37.5	2
5	-45	7.5	-47.5	2
-165	-45	-162.5	-47.5	2
-60	-45	-57.5	-47.5	2
0	-45	2.5	-47.5	2
5	-35	7.5	-37.5	2
135	-50	137.5	-52.5	2
5	-25	7.5	-27.5	2
-160	-45	-157.5	-47.5	2
-30	-35	-27.5	-37.5	2
-50	-45	-47.5	-47.5	2
-40	-45	-37.5	-47.5	2
-100	-25	-97.5	-27.5	2
-90	-20	-87.5	-22.5	2
0	-15	2.5	-17.5	2
-25	-45	-22.5	-47.5	2
40	-45	42.5	-47.5	2
85	0	87.5	-2.5	2
-105	-10	-102.5	-12.5	2
-90	-15	-87.5	-17.5	2
115	-30	117.5	-32.5	2
140	-55	142.5	-57.5	2
45	-45	47.5	-47.5	2
135	-30	137.5	-32.5	2
170	-55	172.5	-57.5	2
-105	-30	-102.5	-32.5	2
-45	-45	-42.5	-47.5	2
-25	-35	-22.5	-37.5	2
-5	-35	-2.5	-37.5	2
-170	-35	-167.5	-37.5	2
55	-20	57.5	-22.5	2
50	-20	52.5	-22.5	2
85	-20	87.5	-22.5	2
0	-20	2.5	-22.5	2
65	-20	67.5	-22.5	2
60	-20	62.5	-22.5	2
80	-20	82.5	-22.5	2
-5	-25	-2.5	-27.5	2
-10	-20	-7.5	-22.5	2
-130	-10	-127.5	-12.5	2
-10	-5	-7.5	-7.5	2
-120	-10	-117.5	-12.5	2
-85	-10	-82.5	-12.5	2
70	-20	72.5	-22.5	2
-125	-10	-122.5	-12.5	2
-15	-20	-12.5	-22.5	2
-80	-25	-77.5	-27.5	2
165	-20	167.5	-22.5	2
-105	-35	-102.5	-37.5	2
145	-15	147.5	-17.5	2
-20	-35	-17.5	-37.5	2
-135	-10	-132.5	-12.5	2
-115	-5	-112.5	-7.5	2
-125	-15	-122.5	-17.5	2
-135	-5	-132.5	-7.5	2
145	-10	147.5	-12.5	2
5	-20	7.5	-22.5	2
-140	0	-137.5	-2.5	2
-130	-5	-127.5	-7.5	2
-125	-5	-122.5	-7.5	2
-145	0	-142.5	-2.5	2
-120	-5	-117.5	-7.5	2
-170	-40	-167.5	-42.5	2
-95	-20	-92.5	-22.5	2
-140	-5	-137.5	-7.5	2
-135	0	-132.5	-2.5	2
75	-20	77.5	-22.5	2
-160	-35	-157.5	-37.5	2
-100	-15	-97.5	-17.5	2
50	-5	52.5	-7.5	2
35	0	37.5	-2.5	2
40	0	42.5	-2.5	2
55	-5	57.5	-7.5	2
55	0	57.5	-2.5	2
65	0	67.5	-2.5	2
-115	0	-112.5	-2.5	2
35	-20	37.5	-22.5	2
40	-20	42.5	-22.5	2
40	-5	42.5	-7.5	2
45	-5	47.5	-7.5	2
50	0	52.5	-2.5	2
45	0	47.5	-2.5	2
50	-45	52.5	-47.5	2
70	-10	72.5	-12.5	2
55	-10	57.5	-12.5	2
175	-55	177.5	-57.5	2
-20	-20	-17.5	-22.5	2
170	-15	172.5	-17.5	2
-100	-10	-97.5	-12.5	2
-5	-20	-2.5	-22.5	2
-145	-35	-142.5	-37.5	2
80	-15	82.5	-17.5	2
-35	-25	-32.5	-27.5	2
-30	-25	-27.5	-27.5	2
-85	-20	-82.5	-22.5	2
-140	-10	-137.5	-12.5	2
165	-5	167.5	-7.5	2
-120	-15	-117.5	-17.5	2
5	-15	7.5	-17.5	2
150	0	152.5	-2.5	2
-15	-25	-12.5	-27.5	2
-20	-25	-17.5	-27.5	2
-25	-25	-22.5	-27.5	2
-130	-30	-127.5	-32.5	2
-135	-30	-132.5	-32.5	2
