Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1959,USA,27.5,-114.5,0,0,0,0,0,91.6,140.5,0,8.1
1959,USA,28.5,-116.5,0,0,0,0,0,0,2.36,0,4.93
1959,USA,28.5,-115.5,0,0,0,0,0,18.1,155.1,0,6.4
1959,USA,32.5,-119.5,0,0,0,0,0,95.2,0,0,0
1959,USA,32.5,-118.5,0,0,0,0,0,1212.6,34.66,0,4.23
1959,USA,32.5,-117.5,0,0,0,0,0,0,35.3,0,0
1959,USA,33.5,-119.5,0,0,0,0,0,164.3,0,0,0
1959,USA,33.5,-118.5,0,0,0,0,0,126.1,30.9,0,0
1959,USA,33.5,-117.5,0,0,0,0,0,0,22.7,0,0
1959,USA,34.5,-120.5,0,0,0,0,0,13.6,0,0,0
1959,USA,-5.5,-80.5,0,0,0,0,0,0,17.62,0,36.77
1959,USA,-4.5,-81.5,0,0,0,0,0,0,191.4,0,232.1
1959,USA,-4.5,-80.5,0,0,0,0,0,0,81.6,0,0
1959,USA,-3.5,-81.5,0,0,0,0,0,0,134.3,0,54.4
1959,USA,-3.5,-80.5,0,0,0,0,0,0,163.4,0,3.6
1959,USA,-2.5,-81.5,0,0,0,0,0,0,59,0,0
1959,USA,-2.5,-80.5,0,0,0,0,0,0,143.3,0,0
1959,USA,18.5,-104.5,0,0,0,0,0,0,0,0,0
1959,USA,19.5,-104.5,0,0,0,0,0,0,0,0,0
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-115.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-109.5,0,0,0,0,0,0,0,0,0
1959,USA,25.5,-113.5,0,0,0,0,0,0,8.1,0,49
1959,USA,26.5,-114.5,0,0,0,0,0,0,19.29,0,19.6
1959,USA,26.5,-113.5,0,0,0,0,0,0,77.19,0,269.3
1959,USA,27.5,-115.5,0,0,0,0,0,0,18.2,0,0
1959,USA,27.5,-114.5,0,0,0,0,0,0,68.58,0,79.01
1959,USA,28.5,-115.5,0,0,0,0,0,0,55.4,0,0
1959,USA,33.5,-119.5,0,0,0,26.4,0,0,0,0,0
1959,USA,34.5,-120.5,0,0,0,78.9,0,0,0,0,0
1959,USA,-4.5,-81.5,0,0,0,0,0,0,13.22,0,72.97
1959,USA,-3.5,-81.5,0,0,0,0,0,0,0.9,0,17.2
1959,USA,-3.5,-80.5,0,0,0,0,0,0,70.5,0,63.59
1959,USA,-1.5,-81.5,0,0,0,0,0,0,8.2,0,0
1959,USA,-0.5,-80.5,0,0,0,0,0,0,0,0,0
1959,USA,2.5,-79.5,0,0,0,0,0,0,0,0,4.5
1959,USA,9.5,-85.5,0,0,0,0,0,0,42.87,0,299.12
1959,USA,9.5,-84.5,0,0,0,0,0,0,0,0,27.2
1959,USA,10.5,-86.5,0,0,0,0,0,0,9.1,0,18.1
1959,USA,11.5,-87.5,0,0,0,0,0,0,1.8,0,2.7
1959,USA,12.5,-87.5,0,0,0,0,0,0,0,0,0
1959,USA,13.5,-90.5,0,0,0,0,0,0,0,0,102.5
1959,USA,15.5,-97.5,0,0,0,0,0,0,0,0,0
1959,USA,19.5,-110.5,0,0,0,0,0,0,0,0,3.6
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,22.5,-110.5,0,0,0,0,0,0,0,0,3.6
1959,USA,22.5,-109.5,0,0,0,0,0,0,0,0,6.4
1959,USA,23.5,-111.5,0,0,0,0,0,0,0,0,2.7
1959,USA,23.5,-110.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-112.5,0,0,0,0,0,0,0,0,394.7
1959,USA,24.5,-111.5,0,0,0,0,0,0,0,0,49.9
1959,USA,24.5,-110.5,0,0,0,0,0,0,0,0,4.5
1959,USA,24.5,-109.5,0,0,0,0,0,0,0,0,8.2
1959,USA,25.5,-113.5,0,0,0,0,0,0,0,0,79
1959,USA,25.5,-112.5,0,0,0,0,0,0,9.1,0,47.9
1959,USA,25.5,-110.5,0,0,0,0,0,0,0,0,0
1959,USA,26.5,-114.5,0,0,0,0,0,0,14.4,0,241.2
1959,USA,26.5,-113.5,0,0,0,0,0,0,4.5,0,51.7
1959,USA,27.5,-115.5,0,0,0,0,0,0,2.7,0,0
1959,USA,27.5,-114.5,0,0,0,0,0,0,0.9,0,12.7
1959,USA,36.5,-121.5,0,0,0,13.6,0,0,0,0,0
1959,USA,-2.5,-81.5,0,0,0,0,0,0,81.7,0,0
1959,USA,-1.5,-81.5,0,0,0,0,0,0,181.5,0,0
1959,USA,2.5,-79.5,0,0,0,0,0,0,0,0,0
1959,USA,2.5,-78.5,0,0,0,0,0,0,0,0,22.7
1959,USA,8.5,-85.5,0,0,0,0,0,0,0,0,0
1959,USA,8.5,-84.5,0,0,0,0,0,0,0,0,238.7
1959,USA,9.5,-86.5,0,0,0,0,0,0,0,0,375.6
1959,USA,9.5,-85.5,0,0,0,0,0,0,0,0,54.4
1959,USA,9.5,-84.5,0,0,0,0,0,0,0,0,9.1
1959,USA,10.5,-86.5,0,0,0,0,0,0,0,0,28.1
1959,USA,11.5,-90.5,0,0,0,0,0,0,0,0,22.7
1959,USA,12.5,-93.5,0,0,0,0,0,0,0,0,1.8
1959,USA,13.5,-92.5,0,0,0,0,0,0,0,0,0
1959,USA,13.5,-90.5,0,0,0,0,0,0,0,0,36.3
1959,USA,13.5,-89.5,0,0,0,0,0,0,0,0,0
1959,USA,14.5,-98.5,0,0,0,0,0,0,0,0,10.9
1959,USA,14.5,-93.5,0,0,0,0,0,0,0,0,89
1959,USA,15.5,-101.5,0,0,0,0,0,0,0,0,0
1959,USA,15.5,-99.5,0,0,0,0,0,0,0,0,4.5
1959,USA,15.5,-98.5,0,0,0,0,0,0,0,0,123.2
1959,USA,15.5,-97.5,0,0,0,0,0,0,0,0,1417.8
1959,USA,15.5,-96.5,0,0,0,0,0,0,0,0,0
1959,USA,15.5,-95.5,0,0,0,0,0,0,0,0,118.8
1959,USA,16.5,-100.5,0,0,0,0,0,0,0,0,0
1959,USA,16.5,-99.5,0,0,0,0,0,0,0,0,36.2
1959,USA,16.5,-98.5,0,0,0,0,0,0,0,0,211.4
1959,USA,16.5,-97.5,0,0,0,0,0,0,0,0,86.2
1959,USA,17.5,-102.5,0,0,0,0,0,0,0,0,0
1959,USA,18.5,-104.5,0,0,0,0,0,0,0,0,0.9
1959,USA,21.5,-106.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-111.5,0,0,0,0,0,0,0,0,1.8
1959,USA,23.5,-110.5,0,0,0,0,0,0,0,0,6.4
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,22.7
1959,USA,23.5,-107.5,0,0,0,0,0,0,0,0,0
1959,USA,24.5,-112.5,0,0,0,0,0,0,0,0,253.8
1959,USA,24.5,-111.5,0,0,0,0,0,0,0,0,27.2
1959,USA,24.5,-110.5,0,0,0,0,0,0,0,0,13.6
1959,USA,24.5,-109.5,0,0,0,0,0,0,0,0,87
1959,USA,25.5,-113.5,0,0,0,0,0,0,0,0,126.9
1959,USA,25.5,-112.5,0,0,0,0,0,0,0.9,0,141.6
1959,USA,25.5,-110.5,0,0,0,0,0,0,0,0,1.8
1959,USA,26.5,-113.5,0,0,0,0,0,0,0,0,13.6
1959,USA,28.5,-115.5,0,0,0,0,0,0,6.3,0,0
1959,USA,34.5,-120.5,0,0,0,39,0,0,0,0,0
1959,USA,5.5,-87.5,0,0,0,0,0,0,0,0,0
1959,USA,7.5,-82.5,0,0,0,0,0,0,1.8,0,4.5
1959,USA,9.5,-86.5,0,0,0,0,0,0,0,0,13.6
1959,USA,9.5,-85.5,0,0,0,0,0,0,0.9,0,90.7
1959,USA,9.5,-84.5,0,0,0,0,0,0,0.9,0,55.4
1959,USA,10.5,-85.5,0,0,0,0,0,0,0,0,9.1
1959,USA,15.5,-101.5,0,0,0,0,0,0,0,0,0
1959,USA,15.5,-100.5,0,0,0,0,0,0,0,0,154
1959,USA,15.5,-99.5,0,0,0,0,0,0,0,0,245.7
