Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1980,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,TWN,-27.5,-147.5,0,0,0,0,0,0,0.6,0,0,0
1980,TWN,-27.5,-142.5,0,0,0,0,0,0,0.4,0,0,0
1980,KOR,-37.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-32.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,TWN,-27.5,-142.5,0,0,0,0,0,0,2.42,0,0,0
1980,TWN,-27.5,-137.5,0,0,0,0,0,0,0.42,0,0,0
1980,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,TWN,-27.5,-142.5,0,0,0,0,0,0,1.19,0,0,0
1980,KOR,-22.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
