BigCellID,BigCellTypeID,x,y,Pacific
591,1,-176.5,39.5,1
592,1,-176.5,38.5,1
593,1,-176.5,37.5,1
594,1,-176.5,36.5,1
595,1,-176.5,35.5,1
596,1,-176.5,34.5,1
597,1,-176.5,33.5,1
598,1,-176.5,32.5,1
599,1,-176.5,31.5,1
600,1,-176.5,30.5,1
601,1,-176.5,29.5,1
602,1,-176.5,28.5,1
603,1,-176.5,27.5,1
604,1,-176.5,26.5,1
605,1,-176.5,25.5,1
606,1,-176.5,24.5,1
607,1,-176.5,23.5,1
608,1,-176.5,22.5,1
609,1,-176.5,21.5,1
610,1,-176.5,20.5,1
611,1,-176.5,19.5,1
612,1,-176.5,18.5,1
613,1,-176.5,17.5,1
614,1,-176.5,16.5,1
615,1,-176.5,15.5,1
616,1,-176.5,14.5,1
617,1,-176.5,13.5,1
618,1,-176.5,12.5,1
619,1,-176.5,11.5,1
620,1,-176.5,10.5,1
621,1,-176.5,9.5,1
622,1,-176.5,8.5,1
623,1,-176.5,7.5,1
624,1,-176.5,6.5,1
625,1,-176.5,5.5,1
626,1,-176.5,4.5,1
627,1,-176.5,3.5,1
628,1,-176.5,2.5,1
629,1,-176.5,1.5,1
630,1,-176.5,0.5,1
631,1,-176.5,-0.5,1
632,1,-176.5,-1.5,1
633,1,-176.5,-2.5,1
634,1,-176.5,-3.5,1
635,1,-176.5,-4.5,1
636,1,-176.5,-5.5,1
637,1,-176.5,-6.5,1
638,1,-176.5,-7.5,1
639,1,-176.5,-8.5,1
640,1,-176.5,-9.5,1
641,1,-176.5,-10.5,1
642,1,-176.5,-11.5,1
643,1,-176.5,-12.5,1
644,1,-176.5,-13.5,1
645,1,-176.5,-14.5,1
646,1,-176.5,-15.5,1
647,1,-176.5,-16.5,1
648,1,-176.5,-17.5,1
649,1,-176.5,-18.5,1
650,1,-176.5,-19.5,1
651,1,-176.5,-20.5,1
652,1,-176.5,-21.5,1
653,1,-176.5,-22.5,1
654,1,-176.5,-23.5,1
655,1,-176.5,-24.5,1
656,1,-176.5,-25.5,1
657,1,-176.5,-26.5,1
658,1,-176.5,-27.5,1
659,1,-176.5,-28.5,1
660,1,-176.5,-29.5,1
661,1,-176.5,-30.5,1
662,1,-176.5,-31.5,1
663,1,-176.5,-32.5,1
664,1,-176.5,-33.5,1
665,1,-176.5,-34.5,1
666,1,-176.5,-35.5,1
667,1,-176.5,-36.5,1
668,1,-176.5,-37.5,1
669,1,-176.5,-38.5,1
670,1,-176.5,-39.5,1
671,1,-176.5,-40.5,1
672,1,-176.5,-41.5,1
673,1,-176.5,-42.5,1
674,1,-176.5,-43.5,1
675,1,-176.5,-44.5,1
676,1,-176.5,-45.5,1
677,1,-176.5,-46.5,1
678,1,-176.5,-47.5,1
679,1,-176.5,-48.5,1
680,1,-176.5,-49.5,1
681,1,-176.5,-50.5,1
682,1,-176.5,-51.5,1
683,1,-176.5,-52.5,1
684,1,-176.5,-53.5,1
685,1,-176.5,-54.5,1
686,1,-176.5,-55.5,1
687,1,-176.5,-56.5,1
688,1,-176.5,-57.5,1
