Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,USA,32.5,-118.5,12.3,0,0,0,0,0,0,0
1978,USA,33.5,-121.5,0.2,0,0,0,0,0,0,0
1978,USA,33.5,-120.5,5.4,0,0,0,0,0,0,0
1978,USA,34.5,-123.5,1.4,0,0,0,0,0,0,0
1978,USA,34.5,-122.5,5.2,0,0,0,0,0,0,0
1978,USA,35.5,-123.5,28.4,0,0,0,0,0,0,0
1978,USA,35.5,-122.5,6,0,0,0,0,0,0,0
1978,USA,35.5,-121.5,37.1,0,0,0,0,0,0,0
1978,USA,35.5,-120.5,28.1,0,0,0,0,0,0,0
1978,USA,36.5,-122.5,57.2,0,0,0,0,0,0,0
1978,USA,36.5,-121.5,0.9,0,0,0,0,0,0,0
1978,USA,36.5,-112.5,0.7,0,0,0,0,0,0,0
1978,USA,37.5,-123.5,0.2,0,0,0,0,0,0,0
1978,USA,37.5,-122.5,0.7,0,0,0,0,0,0,0
1978,USA,38.5,-123.5,0.5,0,0,0,0,0,0,0
1978,USA,39.5,-125.5,1,0,0,0,0,0,0,0
1978,USA,39.5,-124.5,1.8,0,0,0,0,0,0,0
1978,USA,39.5,-123.5,0.6,0,0,0,0,0,0,0
1978,USA,40.5,-124.5,0.6,0,0,0,0,0,0,0
1978,USA,41.5,-126.5,0.2,0,0,0,0,0,0,0
1978,USA,41.5,-125.5,0.2,0,0,0,0,0,0,0
1978,USA,43.5,-125.5,0.2,0,0,0,0,0,0,0
1978,USA,43.5,-124.5,0.6,0,0,0,0,0,0,0
1978,USA,45.5,-124.5,2.3,0,0,0,0,0,0,0
1978,USA,46.5,-125.5,9.6,0,0,0,0,0,0,0
1978,USA,46.5,-124.5,0.2,0,0,0,0,0,0,0
1978,USA,18.5,-114.5,0,0,0,0,0,62.5,0,0.9
1978,USA,19.5,-112.5,0,0,0,0,0,71.94623,0,32.75377
1978,USA,22.5,-112.5,0,0,0,0,0,9,0,2.7
1978,USA,24.5,-113.5,0,0,0,0,0,1.8,0,0.9
1978,USA,25.5,-112.5,0,0,0,0,0,0,0,0.5
1978,USA,26.5,-111.5,0,0,0,0,0,0,0,0.5
