Year,Flag,Lat,Lon,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1993,VEN,-10.5,-87.5,0,0,0,0,0,0,0
1993,VEN,-10.5,-86.5,0,0,0,0,0,0,0
1993,VEN,-10.5,-85.5,0,0,0,0,0,0,0
1993,VEN,-10.5,-84.5,0,0,0,1,0,0,0
1993,VEN,0.5,-94.5,0,0,0,0,0,0,0
1993,VEN,0.5,-84.5,0,0,0,0,0,0,0
1993,VEN,1.5,-85.5,0,0,0,0,0,0,0
1993,VEN,1.5,-84.5,0,0,0,0,0,0,0
1993,VEN,1.5,-83.5,0,0,0,0,0,0,0
1993,VEN,2.5,-96.5,0,0,0,0,0,0,0
1993,VEN,2.5,-86.5,0,0,0,0,0,0,0
1993,VEN,3.5,-90.5,0,0,0,0,0,0,0
1993,VEN,3.5,-88.5,0,0,0,0,0,0,0
1993,VEN,3.5,-87.5,0,0,0,0,0,0,0
1993,VEN,3.5,-86.5,0,0,0,0,0,0,0
1993,VEN,4.5,-94.5,0,0,0,0,0,0,0
1993,VEN,5.5,-93.5,0,0,0,0,0,0,0
1993,VEN,5.5,-92.5,0,0,0,0,0,0,0
1993,VEN,5.5,-90.5,0,0,0,0,0,0,0
1993,VEN,5.5,-88.5,0,0,1,0,0,0,0
1993,VEN,6.5,-95.5,0,0,0,0,0,0,0
1993,VEN,6.5,-94.5,0,0,0,0,0,0,0
1993,VEN,6.5,-93.5,0,0,0,0,2,0,0
1993,VEN,6.5,-92.5,0,0,0,0,0,0,0
1993,VEN,6.5,-91.5,0,0,0,0,0,0,0
1993,VEN,6.5,-90.5,0,0,0,0,0,0,0
1993,VEN,6.5,-89.5,0,0,0,0,0,0,0
1993,VEN,7.5,-96.5,0,0,0,0,0,0,0
1993,VEN,7.5,-95.5,0,0,0,0,0,0,0
1993,VEN,7.5,-94.5,0,0,0,0,0,0,0
1993,VEN,7.5,-93.5,0,0,0,0,0,0,0
1993,VEN,7.5,-91.5,0,0,0,0,0,0,0
1993,VEN,7.5,-90.5,0,0,0,0,0,0,0
1993,VEN,8.5,-96.5,0,0,0,0,0,0,0
1993,VEN,8.5,-90.5,0,0,0,0,0,0,0
1993,VEN,10.5,-96.5,0,1,0,0,0,0,0
1993,VUT,-16.5,-83.5,0,0,0,2,0,0,0
1993,VUT,-16.5,-81.5,0,0,0,2,0,0,0
1993,VUT,-15.5,-83.5,0,0,0,1,0,0,0
1993,VUT,-15.5,-82.5,0,0,0,2,0,0,0
1993,VUT,-15.5,-81.5,0,0,0,0,0,0,0
1993,VUT,-14.5,-82.5,0,0,0,0,0,0,0
1993,VUT,-13.5,-84.5,0,0,0,0,0,0,0
1993,VUT,-13.5,-83.5,0,0,0,0,0,0,0
1993,VUT,-13.5,-82.5,0,0,0,0,0,0,0
1993,VUT,-12.5,-85.5,0,0,0,0,0,0,0
1993,VUT,-12.5,-84.5,0,0,0,0,0,0,0
1993,VUT,-12.5,-83.5,0,0,0,0,0,0,0
1993,VUT,-12.5,-82.5,0,0,0,0,0,0,0
1993,VUT,-11.5,-87.5,0,0,0,0,0,0,0
1993,VUT,-11.5,-86.5,0,0,0,0,0,0,0
1993,VUT,-11.5,-85.5,0,0,0,0,0,0,0
1993,VUT,-11.5,-84.5,0,0,0,0,0,0,0
1993,VUT,-10.5,-87.5,0,0,0,0,0,0,0
1993,VUT,-10.5,-84.5,0,0,0,0,0,0,0
1993,VUT,-10.5,-83.5,0,0,0,0,0,0,0
1993,VUT,-9.5,-87.5,0,0,0,0,0,0,0
1993,VUT,-9.5,-86.5,0,0,0,0,0,0,0
1993,VUT,-8.5,-87.5,0,0,0,0,0,0,0
1993,VUT,-6.5,-87.5,0,0,0,0,0,0,0
1993,VUT,-6.5,-86.5,0,0,0,0,0,0,0
1993,VUT,-5.5,-86.5,0,0,0,0,0,0,0
1993,VUT,-3.5,-105.5,0,0,0,0,0,0,0
1993,VUT,-2.5,-106.5,0,0,1,0,0,0,0
1993,VUT,-2.5,-105.5,1,0,0,0,0,0,0
1993,VUT,-1.5,-105.5,0,0,0,0,0,0,0
1993,VUT,-0.5,-85.5,0,0,0,0,0,0,0
1993,VUT,0.5,-86.5,0,0,0,0,0,0,0
1993,VUT,0.5,-85.5,0,0,0,0,0,0,0
1993,VUT,0.5,-84.5,0,0,0,0,0,0,0
1993,VUT,1.5,-87.5,0,0,0,0,0,0,0
1993,VUT,1.5,-86.5,0,0,0,0,0,0,0
1993,VUT,1.5,-85.5,0,1,0,0,0,0,0
1993,VUT,1.5,-84.5,0,0,0,0,0,0,0
1993,VUT,1.5,-83.5,0,0,0,0,0,0,0
1993,VUT,2.5,-86.5,0,0,0,0,0,0,0
1993,VUT,2.5,-85.5,0,0,0,0,0,0,0
1993,VUT,3.5,-86.5,0,0,0,0,0,0,0
1993,VUT,5.5,-94.5,0,0,1,0,0,0,0
1993,VUT,5.5,-91.5,0,0,0,0,0,0,0
1993,VUT,5.5,-90.5,0,0,0,0,0,0,0
1993,VUT,6.5,-91.5,0,0,0,0,0,0,0
1993,VUT,6.5,-90.5,0,1,0,0,0,0,0
1993,VUT,6.5,-89.5,0,0,0,0,0,0,0
1993,VUT,8.5,-89.5,0,0,0,0,0,0,0
1993,COL,-16.5,-82.5,0,0,0,0,0,0,0
1993,COL,-16.5,-81.5,0,0,0,1,0,0,0
1993,COL,-16.5,-80.5,0,0,0,0,0,0,0
1993,COL,-15.5,-81.5,0,0,0,4,0,0,0
1993,COL,-14.5,-82.5,0,0,0,0,0,0,0
1993,COL,-14.5,-81.5,0,0,0,1,0,0,0
1993,COL,2.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-16.5,-80.5,0,0,0,0,0,0,0
1993,ECU,-15.5,-83.5,0,1,0,0,0,0,0
1993,ECU,-15.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-15.5,-80.5,0,0,0,0,0,0,0
1993,ECU,-15.5,-79.5,0,0,0,0,0,0,0
1993,ECU,-14.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-14.5,-81.5,2,0,0,0,0,0,0
1993,ECU,-14.5,-80.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-81.5,0,0,0,0,0,0,0
1993,ECU,-13.5,-80.5,2,0,0,0,0,0,0
1993,ECU,-13.5,-79.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-83.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-82.5,0,0,0,0,0,0,0
1993,ECU,-12.5,-81.5,0,1,1,0,0,0,0
1993,ECU,-12.5,-80.5,0,3,0,0,0,0,0
