Year,Month,Lat,Lon,skj_c_una,yft_c_una,bet_c_una,oth_c_una,skj_c_log,yft_c_log,bet_c_log,oth_c_log,skj_c_dfad,yft_c_dfad,bet_c_dfad,oth_c_dfad,skj_c_afad,yft_c_afad,bet_c_afad,oth_c_afad,skj_c_oth,yft_c_oth,bet_c_oth,oth_c_oth
1970,12,05N,120E,0,0,0,0,74.37,102.33,12.375,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,05N,125E,0,0,0,0,74.366,102.334,12.369,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,12,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,1,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,2,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,00N,135E,0,0,0,0,106.976,154.307,17.456,0.7,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,3,05S,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,05S,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,4,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,30N,140E,371.3,179.8,2.8,14.4,235.8,101.4,0.6,10.1,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,35N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,35N,140E,428.4,143,0.4,1016.3,630.8,37.8,0,669,0,0,0,0,0,0,0,0,0,0,0,0
1971,5,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,30N,140E,355.2,209.5,7.1,0,639.9,208.5,20,2.7,0,0,0,0,0,0,0,0,15.7,1.5,3,0
1971,6,35N,140E,886.4,272.2,0.7,696.9,1410.6,319,6,1309.1,0,0,0,0,0,0,0,0,2.2,4.7,0,0
1971,6,35N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,6,45N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,25N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
