big_cell_id,big_cell_type_id,x,y,is_land_locked,is_in_med,is_in_pacific,is_in_indian
66,1,-179.5,24.5,0,0,1,0
67,1,-179.5,23.5,0,0,1,0
68,1,-179.5,22.5,0,0,1,0
69,1,-179.5,21.5,0,0,1,0
70,1,-179.5,20.5,0,0,1,0
71,1,-179.5,19.5,0,0,1,0
72,1,-179.5,18.5,0,0,1,0
73,1,-179.5,17.5,0,0,1,0
74,1,-179.5,16.5,0,0,1,0
75,1,-179.5,15.5,0,0,1,0
76,1,-179.5,14.5,0,0,1,0
77,1,-179.5,13.5,0,0,1,0
78,1,-179.5,12.5,0,0,1,0
79,1,-179.5,11.5,0,0,1,0
80,1,-179.5,10.5,0,0,1,0
81,1,-179.5,9.5,0,0,1,0
82,1,-179.5,8.5,0,0,1,0
83,1,-179.5,7.5,0,0,1,0
84,1,-179.5,6.5,0,0,1,0
85,1,-179.5,5.5,0,0,1,0
86,1,-179.5,4.5,0,0,1,0
87,1,-179.5,3.5,0,0,1,0
88,1,-179.5,2.5,0,0,1,0
89,1,-179.5,1.5,0,0,1,0
90,1,-179.5,0.5,0,0,1,0
91,1,-179.5,-0.5,0,0,1,0
92,1,-179.5,-1.5,0,0,1,0
93,1,-179.5,-2.5,0,0,1,0
94,1,-179.5,-3.5,0,0,1,0
95,1,-179.5,-4.5,0,0,1,0
96,1,-179.5,-5.5,0,0,1,0
97,1,-179.5,-6.5,0,0,1,0
98,1,-179.5,-7.5,0,0,1,0
99,1,-179.5,-8.5,0,0,1,0
100,1,-179.5,-9.5,0,0,1,0
101,1,-179.5,-10.5,0,0,1,0
102,1,-179.5,-11.5,0,0,1,0
103,1,-179.5,-12.5,0,0,1,0
104,1,-179.5,-13.5,0,0,1,0
105,1,-179.5,-14.5,0,0,1,0
106,1,-179.5,-15.5,0,0,1,0
107,1,-179.5,-16.5,0,0,1,0
108,1,-179.5,-17.5,0,0,1,0
109,1,-179.5,-18.5,0,0,1,0
110,1,-179.5,-19.5,0,0,1,0
111,1,-179.5,-20.5,0,0,1,0
112,1,-179.5,-21.5,0,0,1,0
113,1,-179.5,-22.5,0,0,1,0
114,1,-179.5,-23.5,0,0,1,0
115,1,-179.5,-24.5,0,0,1,0
116,1,-179.5,-25.5,0,0,1,0
117,1,-179.5,-26.5,0,0,1,0
118,1,-179.5,-27.5,0,0,1,0
119,1,-179.5,-28.5,0,0,1,0
120,1,-179.5,-29.5,0,0,1,0
121,1,-179.5,-30.5,0,0,1,0
122,1,-179.5,-31.5,0,0,1,0
123,1,-179.5,-32.5,0,0,1,0
124,1,-179.5,-33.5,0,0,1,0
125,1,-179.5,-34.5,0,0,1,0
126,1,-179.5,-35.5,0,0,1,0
127,1,-179.5,-36.5,0,0,1,0
128,1,-179.5,-37.5,0,0,1,0
129,1,-179.5,-38.5,0,0,1,0
130,1,-179.5,-39.5,0,0,1,0
131,1,-179.5,-40.5,0,0,1,0
132,1,-179.5,-41.5,0,0,1,0
133,1,-179.5,-42.5,0,0,1,0
134,1,-179.5,-43.5,0,0,1,0
135,1,-179.5,-44.5,0,0,1,0
136,1,-179.5,-45.5,0,0,1,0
137,1,-179.5,-46.5,0,0,1,0
138,1,-179.5,-47.5,0,0,1,0
139,1,-179.5,-48.5,0,0,1,0
140,1,-179.5,-49.5,0,0,1,0
141,1,-179.5,-50.5,0,0,1,0
142,1,-179.5,-51.5,0,0,1,0
143,1,-179.5,-52.5,0,0,1,0
