FishingEntityID,CountryGroupID,GearGroupID,Layer3GearID
58,7,302,29
58,7,302,22
58,7,302,24
58,7,302,9
58,7,302,26
58,7,302,27
58,7,302,8
58,7,302,67
58,7,302,68
58,7,302,69
146,1,302,28
146,1,302,29
146,1,302,22
146,1,302,24
146,1,302,9
146,1,302,26
146,1,302,27
146,1,302,8
146,1,302,67
146,1,302,68
146,1,302,69
66,7,302,28
66,7,302,29
66,7,302,22
66,7,302,24
66,7,302,9
66,7,302,26
66,7,302,27
66,7,302,8
66,7,302,67
66,7,302,68
66,7,302,69
141,7,302,28
141,7,302,29
141,7,302,22
141,7,302,24
141,7,302,9
141,7,302,26
141,7,302,27
141,7,302,8
141,7,302,67
141,7,302,68
141,7,302,69
165,7,302,28
165,7,302,29
165,7,302,22
165,7,302,24
165,7,302,9
165,7,302,26
165,7,302,27
165,7,302,8
165,7,302,67
165,7,302,68
165,7,302,69
183,7,302,28
183,7,302,29
183,7,302,22
183,7,302,24
183,7,302,9
183,7,302,26
183,7,302,27
183,7,302,8
183,7,302,67
183,7,302,68
183,7,302,69
37,1,302,28
37,1,302,29
37,1,302,22
37,1,302,24
37,1,302,9
37,1,302,26
37,1,302,27
37,1,302,8
37,1,302,67
37,1,302,68
37,1,302,69
76,1,302,28
76,1,302,29
76,1,302,22
76,1,302,24
76,1,302,9
76,1,302,26
76,1,302,27
76,1,302,8
76,1,302,67
76,1,302,68
76,1,302,69
82,2,302,28
82,2,302,29
82,2,302,22
82,2,302,24
82,2,302,9
82,2,302,26
82,2,302,27
82,2,302,8
82,2,302,67
82,2,302,68
82,2,302,69
83,2,302,28
83,2,302,29
83,2,302,22
83,2,302,24
83,2,302,9
83,2,302,26
83,2,302,27
83,2,302,8
83,2,302,67
83,2,302,68
83,2,302,69
84,2,302,28
84,2,302,29
84,2,302,22
84,2,302,24
84,2,302,9
84,2,302,26
84,2,302,27
84,2,302,8
84,2,302,67
84,2,302,68
84,2,302,69
91,3,302,28
91,3,302,29
91,3,302,22
91,3,302,24
91,3,302,9
91,3,302,26
91,3,302,27
91,3,302,8
91,3,302,67
91,3,302,68
91,3,302,69
93,1,302,28
93,1,302,29
93,1,302,22
93,1,302,24
93,1,302,9
93,1,302,26
93,1,302,27
93,1,302,8
93,1,302,67
93,1,302,68
93,1,302,69
95,3,302,28
95,3,302,29
95,3,302,22
95,3,302,24
95,3,302,9
95,3,302,26
95,3,302,27
95,3,302,8
95,3,302,67
95,3,302,68
95,3,302,69
96,2,302,28
96,2,302,29
96,2,302,22
96,2,302,24
96,2,302,9
96,2,302,26
96,2,302,27
96,2,302,8
96,2,302,67
96,2,302,68
96,2,302,69
103,1,302,28
103,1,302,29
103,1,302,22
103,1,302,24
103,1,302,9
103,1,302,26
103,1,302,27
103,1,302,8
103,1,302,67
103,1,302,68
103,1,302,69
104,2,302,28
104,2,302,29
104,2,302,22
104,2,302,24
104,2,302,9
104,2,302,26
104,2,302,27
104,2,302,8
104,2,302,67
104,2,302,68
104,2,302,69
105,2,302,28
105,2,302,29
105,2,302,22
105,2,302,24
105,2,302,9
105,2,302,26
105,2,302,27
105,2,302,8
105,2,302,67
105,2,302,68
105,2,302,69
109,1,302,28
109,1,302,29
109,1,302,22
109,1,302,24
109,1,302,9
109,1,302,26
109,1,302,27
109,1,302,8
109,1,302,67
109,1,302,68
109,1,302,69
114,1,302,28
114,1,302,29
114,1,302,22
114,1,302,24
114,1,302,9
114,1,302,26
114,1,302,27
114,1,302,8
114,1,302,67
114,1,302,68
114,1,302,69
1000,1000,302,28
1000,1000,302,29
1000,1000,302,22
1000,1000,302,24
1000,1000,302,9
1000,1000,302,26
1000,1000,302,27
1000,1000,302,8
1000,1000,302,67
1000,1000,302,68
1000,1000,302,69
138,2,302,28
138,2,302,29
138,2,302,22
138,2,302,24
138,2,302,9
138,2,302,26
138,2,302,27
138,2,302,8
138,2,302,67
138,2,302,68
138,2,302,69
156,2,302,28
156,2,302,29
156,2,302,22
156,2,302,24
156,2,302,9
156,2,302,26
156,2,302,27
156,2,302,8
156,2,302,67
156,2,302,68
156,2,302,69
157,1,302,28
157,1,302,29
157,1,302,22
157,1,302,24
157,1,302,9
157,1,302,26
157,1,302,27
157,1,302,8
157,1,302,67
157,1,302,68
157,1,302,69
164,1,302,28
164,1,302,29
164,1,302,22
164,1,302,24
164,1,302,9
164,1,302,26
164,1,302,27
164,1,302,8
164,1,302,67
164,1,302,68
164,1,302,69
29,2,302,28
29,2,302,29
29,2,302,22
29,2,302,24
29,2,302,9
29,2,302,26
29,2,302,27
29,2,302,8
29,2,302,67
29,2,302,68
29,2,302,69
167,1,302,28
167,1,302,29
167,1,302,22
167,1,302,24
167,1,302,9
167,1,302,26
167,1,302,27
167,1,302,8
167,1,302,67
167,1,302,68
167,1,302,69
32,3,302,28
32,3,302,29
32,3,302,22
32,3,302,24
32,3,302,9
32,3,302,26
32,3,302,27
32,3,302,8
32,3,302,67
32,3,302,68
32,3,302,69
171,2,302,28
171,2,302,29
171,2,302,22
171,2,302,24
171,2,302,9
171,2,302,26
171,2,302,27
171,2,302,8
171,2,302,67
171,2,302,68
171,2,302,69
122,5,302,28
122,5,302,29
122,5,302,22
122,5,302,24
122,5,302,9
122,5,302,26
