Fleet,Gear,Year,MonthStart,Grid,YFT-MT,BET-MT,SKJ-MT,ALB-MT,SBF-MT,LOT-MT,FRZ-MT,KAW-MT,COM-MT,SWO-MT,BILL-MT,TUX-MT,SKH-MT,NTAD-MT
MDV    ,HAND,2017,7,5102071,,,,,,,,,,,,,,
MDV    ,HAND,2017,9,5102071,7.08,,,,,,,,,,,,,
MDV    ,HAND,2018,4,5102071,4.47,,,,,,,,,,,,,
MDV    ,HAND,2018,6,5102071,,,,,,,,,,,,,,
MDV    ,HAND,2019,3,5102071,,,,,,,,,,,,,,
MDV    ,HAND,2019,6,5102071,7.32,,,,,,,0.02,,,,,,8.87E-03
MDV    ,HAND,2019,7,5102071,,,,,,,,,,,,,,
MDV    ,HAND,2019,8,5102071,19.68,,,,,,,,,,,,,
MDV    ,HAND,2019,9,5102071,12.72,,,,,,,,,,,,,
MDV    ,HAND,2019,11,5102071,14.71,,,,,,,,,,,,,
MDV    ,HAND,2020,1,5102071,19.28,,,,,,,,,,,,,
MDV    ,HAND,2020,2,5102071,8.67,,,,,,,,,,,,,
MDV    ,HAND,2020,3,5102071,0.31,,,,,,,,,,,,,
MDV    ,HAND,2020,6,5102071,6.58,,,,,,,,,,,,,
MDV    ,HAND,2020,7,5102071,3.68,,,,,,,,,,,,,
MDV    ,HAND,2020,10,5102071,18.21,,,,,,,,,,,,,
MDV    ,HAND,2020,11,5102071,2.95,,,,,,,,,,,,,
MDV    ,HAND,2020,12,5102071,9.6,,,,,,,,,,,,,
MDV    ,HAND,2021,1,5102071,1.3,,2.6,,,,,,,,,,,
MDV    ,HAND,2021,2,5102071,17.62,,,,,,,,,,,,,
MDV    ,HAND,2021,4,5102071,1.26,,,,,,,,,,,,,
MDV    ,HAND,2021,7,5102071,4.52,,,,,,,,,,,,,
MDV    ,HAND,2021,8,5102071,2.61,,,,,,,,,,,,,
MDV    ,HAND,2022,9,5102071,7.3,,,,,,,,,,,,,
MDV    ,HAND,2022,12,5102071,16.13,,,,,,,,,,,,,
MDV    ,HAND,2023,3,5102071,8.45,,,,,,,,,,,,,
MDV    ,HAND,2023,5,5102071,3.27,,,,,,,,,,,,,
MDV    ,HLOF,2018,6,5102071,5.78,,,,,,,,,,,,,
MDV    ,HLOF,2019,1,5102071,3.57,,,,,,,,,,,,,
MDV    ,HLOF,2019,3,5102071,7.78,,,,,,,,,,,,,
MDV    ,HLOF,2019,4,5102071,,,5.17,,,,,,,,,,,
MDV    ,HLOF,2019,5,5102071,8.17,,,,,,,,,,,,,
MDV    ,HLOF,2019,11,5102071,,,,,,,,,,,,,,
MDV    ,HLOF,2019,12,5102071,2.65,,,,,,,,,,,,,
MDV    ,HLOF,2020,2,5102071,3.32,,,,,,,,,,,,,
MDV    ,HLOF,2020,3,5102071,,,,,,,,,,,,,,
MDV    ,HLOF,2020,4,5102071,12.24,,,,,,,,,,,,,
MDV    ,HLOF,2020,7,5102071,,,,,,,,,,,,,,
MDV    ,HLOF,2020,12,5102071,4.6,,,,,,,,,,,,,
MDV    ,HLOF,2021,2,5102071,,,,,,,,,,,,,,
MDV    ,HLOF,2021,4,5102071,2.66,,,,,,,,,,,,,
MDV    ,HLOF,2021,5,5102071,,,1.11,,,,,,,,,,,
MDV    ,HLOF,2021,7,5102071,3.79,,,,,,,,,,,,,
MDV    ,HLOF,2021,8,5102071,13.97,,,,,,,,,,,,,
MDV    ,HLOF,2021,10,5102071,,,,,,,,,,,,,,
MDV    ,HLOF,2021,12,5102071,5.11,,,,,,,0.75,,,,,,
MDV    ,HLOF,2022,3,5102071,0.09,,,,,,,,,,,,,
MDV    ,HLOF,2022,12,5102071,10.06,,,,,,,,,,,,,
MDV    ,HLOF,2023,3,5102071,13.81,,,,,,,,,,,,,
MDV    ,HLOF,2023,6,5102071,6.78,,,,,,,,,,,,,
MDV    ,HLOF,2023,10,5102071,0.8,,,,,,,,,,,,,
MDV    ,LLCO,2013,10,5102071,0.18,0.4,,,,,,,,,0.01,,,
MDV    ,LLCO,2014,1,5102071,1.17,17.29,,,,,,,,1.4,0.61,,,0.2
MDV    ,LLCO,2014,2,5102071,0.71,0.63,,,,,,,,,0.16,,,0.06
MDV    ,LLCO,2014,3,5102071,1.17,10.24,,,,,,,,0.19,0.38,,,0.16
MDV    ,LLCO,2014,4,5102071,0.02,1.39,,,,,,,,0.11,0.16,,,0.03
MDV    ,LLCO,2014,5,5102071,0.07,0.3,0.01,,,,,,,0.09,,,,9.00E-03
MDV    ,LLCO,2014,6,5102071,,,,,,,,,,,,,,
MDV    ,LLCO,2014,7,5102071,0.02,0.63,,0.18,,,,,,0.1,0.03,,,
MDV    ,LLCO,2014,8,5102071,0.5,4.18,3.00E-03,,,,,,,1.61,0.22,,,0.07
MDV    ,LLCO,2014,9,5102071,0.21,2.49,,,,,,,,0.32,0.2,,,0.04
MDV    ,LLCO,2014,10,5102071,0.14,0.58,,,,,,,,,0.05,,,0.02
MDV    ,LLCO,2014,11,5102071,0.11,0.81,,,,,,,,0.14,0.03,,,8.00E-03
MDV    ,LLCO,2014,12,5102071,0.71,3.89,,,,,,,,1.66,1.27,,,0.03
MDV    ,LLCO,2015,5,5102071,1.23,0.37,,,,,,,,0.22,0.12,,,
MDV    ,LLCO,2016,5,5102071,0.49,0.13,,,,,,,,0.09,,,,
MDV    ,LLCO,2018,7,5102071,1.07,,,,,,,,,,0.15,,,
MDV    ,LLCO,2019,3,5102071,1.41,0.03,,,,,,,,,0.18,,,
MDV    ,TROL,2013,7,5102071,,,,,,,,,,,,,,
MDV    ,TROL,2018,12,5102071,0.11,,,,,,,,,,0.03,0.11,,0.04
MDV    ,HAND,2013,1,5102072,513.39,,2.37,,,,0.01,0.04,,,0.22,,,1.10E-03
MDV    ,HAND,2013,2,5102072,325.57,,11.61,,,,0.01,0.03,,,0.1,,,8.80E-03
MDV    ,HAND,2013,3,5102072,613.54,,8.37,,,,0.01,0.25,,,0.12,,,0.02
MDV    ,HAND,2013,4,5102072,203.3,,23.17,,,,7.20E-03,0.12,,,0.32,,,0.02
MDV    ,HAND,2013,5,5102072,124.48,,,,,,1.80E-03,0.01,,,0.08,,,0.02
MDV    ,HAND,2013,6,5102072,317.31,,44.9,,,,0.15,0.49,,,0.26,,,1.69
MDV    ,HAND,2013,7,5102072,238.25,,6.01,,,,0.03,0.44,,,0.44,,,
MDV    ,HAND,2013,8,5102072,224.59,,,,,,,0.01,,,0.04,,,
MDV    ,HAND,2013,9,5102072,232.43,,1.38,,,,0.24,0.18,,,0.4,,,
MDV    ,HAND,2013,10,5102072,322.5,,4.63,,,,0.02,0.52,,,0.12,,,
MDV    ,HAND,2013,11,5102072,269.95,,45,,,,1.34,0.33,,,0.3,,,
MDV    ,HAND,2013,12,5102072,119.15,,7.3,,,,,,,,6.07,,,
MDV    ,HAND,2014,1,5102072,21.02,,,,,,,,,,,,,
MDV    ,HAND,2014,2,5102072,2.63,,,,,,,,,,,,,
MDV    ,HAND,2014,3,5102072,17.7,,,,,,0.38,,,,,,,
MDV    ,HAND,2014,4,5102072,39.36,,,,,,0.62,,,,,,,
MDV    ,HAND,2014,5,5102072,48.73,,,,,,,,,,,,,
MDV    ,HAND,2014,6,5102072,8.78,,,,,,,,,,,,,
MDV    ,HAND,2014,7,5102072,11.36,,,,,,,,,,,,,
MDV    ,HAND,2014,8,5102072,21.85,,,,,,,,,,,,,
MDV    ,HAND,2014,9,5102072,3.99,,,,,,,,,,,,,
MDV    ,HAND,2014,10,5102072,8.92,,,,,,,,,,,,,
MDV    ,HAND,2014,11,5102072,0.04,0.03,,,,,,,,,,,,
MDV    ,HAND,2014,12,5102072,5.43,,,,,,,,,,,,,
MDV    ,HAND,2015,1,5102072,19.24,25.29,0.03,,,,,,,,,,2.62,2.62
MDV    ,HAND,2015,2,5102072,20.56,,0.02,,,,,,,,,,,
MDV    ,HAND,2015,3,5102072,27.28,,,,,,,,,,,,,
MDV    ,HAND,2015,4,5102072,39.74,0.03,0.01,,,,,,,,,,,
MDV    ,HAND,2015,5,5102072,14.44,,,,,,,,,,,,,
MDV    ,HAND,2015,6,5102072,6.25,1.91,,,,,,,,,,,,
MDV    ,HAND,2015,7,5102072,5.79,,,,,,,,,,,,,
MDV    ,HAND,2015,8,5102072,13.63,,,,,,,,,,,,,
MDV    ,HAND,2015,9,5102072,24.28,,3.63,,,,,,,,,,,
MDV    ,HAND,2015,10,5102072,31.37,,,,,,,,,,,,,
MDV    ,HAND,2015,11,5102072,25.86,,,,,,,6.40E-03,,,,,,
MDV    ,HAND,2015,12,5102072,1.22,,,,,,,,,,,,,
MDV    ,HAND,2016,1,5102072,6.7,,,,,,,,,,,,,
MDV    ,HAND,2016,2,5102072,15.35,,,,,,,,,,,,,
MDV    ,HAND,2016,3,5102072,21.37,,,,,,,,,,0.52,,,
MDV    ,HAND,2016,4,5102072,36.22,,,,,,,,,,,,,
MDV    ,HAND,2016,5,5102072,17.7,,,,,,,,,,,,,
MDV    ,HAND,2016,6,5102072,11.81,,,,,,,,,,,,,
MDV    ,HAND,2016,7,5102072,1.63,,,,,,,,,,,,,
MDV    ,HAND,2016,8,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2016,9,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2016,10,5102072,12.79,,,,,,,,,,,,,
MDV    ,HAND,2016,12,5102072,40.95,,,,,,,,,,,,,
MDV    ,HAND,2017,2,5102072,40.52,,,,,,,,,,,,,
MDV    ,HAND,2017,3,5102072,21.06,,,,,,,,,,,,,
MDV    ,HAND,2017,4,5102072,42.16,,,,,,,,,,,,,
MDV    ,HAND,2017,5,5102072,67.24,,,,,,,,,,,,,
MDV    ,HAND,2017,6,5102072,40.65,,,,,,,,,,,,,
MDV    ,HAND,2017,7,5102072,69.99,,,,,,,,,,,,,
MDV    ,HAND,2017,8,5102072,53.57,,,,,,,,,,,,,
MDV    ,HAND,2017,9,5102072,32.97,,,,,,,,,,,,,
MDV    ,HAND,2017,10,5102072,12.31,,,,,,,,,,,,,
MDV    ,HAND,2017,11,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2017,12,5102072,18.53,,,,,,,,,,,,,
MDV    ,HAND,2018,1,5102072,25.54,,,,,,,,,,,,,
MDV    ,HAND,2018,2,5102072,17.3,,,,,,,,,,,,,
MDV    ,HAND,2018,3,5102072,5.8,,,,,,,,,,,,,
MDV    ,HAND,2018,4,5102072,6.23,,,,,,,,,,,,,
MDV    ,HAND,2018,6,5102072,2.44,,,,,,,,,,,,,
MDV    ,HAND,2018,7,5102072,4.39,0.27,,,,,,,,,,,,
MDV    ,HAND,2018,9,5102072,11.34,,,,,,,,,,,,,
MDV    ,HAND,2018,10,5102072,4.48,,,,,,,,,,,,,
MDV    ,HAND,2019,1,5102072,3.28,,,,,,,,,,,,,
MDV    ,HAND,2019,2,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2019,3,5102072,14.07,,,,,,,,,,,,,
MDV    ,HAND,2019,4,5102072,31.7,,,,,,,,,,,,,
MDV    ,HAND,2019,5,5102072,34.91,,,,,,,,,,,,,
MDV    ,HAND,2019,6,5102072,19.6,,,,,,,,,,,,,
MDV    ,HAND,2019,7,5102072,26.5,,2.02,,,,,,,,,,,
MDV    ,HAND,2019,8,5102072,22.83,,,,,,,,,,,,,
MDV    ,HAND,2019,9,5102072,26.7,,,,,,,,,,,,,
MDV    ,HAND,2019,10,5102072,5.9,,,,,,,,,,,,,
MDV    ,HAND,2019,11,5102072,14.11,,,,,,,,,,,,,
MDV    ,HAND,2020,1,5102072,9.05,,,,,,,,,,,,,
MDV    ,HAND,2020,2,5102072,38.43,,,,,,,,,,,,,
MDV    ,HAND,2020,3,5102072,36.03,,,,,,,,,,,,,
MDV    ,HAND,2020,4,5102072,61.24,,,,,,,,,,,,,
MDV    ,HAND,2020,5,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2020,6,5102072,4.05,,6.76,,,,,,,,,,,
MDV    ,HAND,2020,7,5102072,14.59,,0.09,,,,,,,,,,,
MDV    ,HAND,2020,8,5102072,0.36,,,,,,,,,,,,,
MDV    ,HAND,2020,9,5102072,15.37,,,,,,,,,,,,,
MDV    ,HAND,2020,10,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2020,11,5102072,38.7,0.38,0.38,,,,,,,,,,,
MDV    ,HAND,2020,12,5102072,12.44,,,,,,,,,,,,,
MDV    ,HAND,2021,1,5102072,0.62,,,,,,,,,,,,,
MDV    ,HAND,2021,2,5102072,4.64,,,,,,,,,,,,,
MDV    ,HAND,2021,3,5102072,19.28,,,,,,,,,,,,,
MDV    ,HAND,2021,4,5102072,13.41,,,,,,,,,,,,,0.14
MDV    ,HAND,2021,6,5102072,4.54,,,,,,,,,,,,,0.02
MDV    ,HAND,2021,7,5102072,40.76,,,,,,,,,,,,,
MDV    ,HAND,2021,8,5102072,30.25,,,,,,,,,,,,,
MDV    ,HAND,2021,9,5102072,18.73,,,,,,,,,,,,,
MDV    ,HAND,2021,10,5102072,7.54,,,,,,,,,,,,,
MDV    ,HAND,2021,11,5102072,7.72,,,,,,,,,,,,,
MDV    ,HAND,2022,1,5102072,1,,,,,,,,,,,,,
MDV    ,HAND,2022,3,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2022,4,5102072,7.21,,,,,,,,,,,,,
MDV    ,HAND,2022,5,5102072,17.23,,,,,,,,,,,,,
MDV    ,HAND,2022,6,5102072,6.34,,0.75,,,,,,,,,,,
MDV    ,HAND,2022,7,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2022,8,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2022,10,5102072,13.88,,,,,,,,,,,,,
MDV    ,HAND,2022,11,5102072,12.63,,,,,,,,,,,,,
MDV    ,HAND,2023,1,5102072,18.86,,,,,,,,,,,,,
MDV    ,HAND,2023,2,5102072,16.15,,,,,,,,,,,,,
MDV    ,HAND,2023,3,5102072,7.75,,,,,,,,,,,,,
MDV    ,HAND,2023,4,5102072,1.58,,,,,,,,,,,,,
MDV    ,HAND,2023,5,5102072,16.54,,,,,,,,,,,,,
MDV    ,HAND,2023,6,5102072,21.56,,,,,,,,,,,,,
MDV    ,HAND,2023,7,5102072,,,,,,,,,,,,,,
MDV    ,HAND,2023,9,5102072,9.6,,,,,,,,,,,,,
MDV    ,HAND,2023,10,5102072,9.62,,,,,,,,,,,,,
MDV    ,HLOF,2018,1,5102072,10.89,,,,,,,,,,,,,
MDV    ,HLOF,2018,2,5102072,7.93,,,,,,,,,,,,,
MDV    ,HLOF,2018,3,5102072,5.43,,,,,,,,,,,,,
MDV    ,HLOF,2018,4,5102072,23.72,,,,,,,,,,,,,
MDV    ,HLOF,2018,5,5102072,3.05,,,,,,,,,,,,,
MDV    ,HLOF,2018,6,5102072,1.52,,,,,,,,,,,,,
MDV    ,HLOF,2018,7,5102072,2.15,,,,,,,,,,,,,
MDV    ,HLOF,2018,8,5102072,2.42,,,,,,,,,,,,,
MDV    ,HLOF,2018,9,5102072,3.97,,,,,,,,,,,,,
MDV    ,HLOF,2018,10,5102072,6.4,,,,,,,,,,,,,
MDV    ,HLOF,2019,1,5102072,1.06,,2.69,,,,,,,,,,,
MDV    ,HLOF,2019,2,5102072,0.72,8.92,1.62,,,,,,,,,,,
MDV    ,HLOF,2019,3,5102072,15.24,,,,,,,,,,,,,
MDV    ,HLOF,2019,4,5102072,25.07,,,,,,,,,,,,,
MDV    ,HLOF,2019,5,5102072,41.88,,,,,,,,,,,,,
MDV    ,HLOF,2019,6,5102072,16.39,,,,,,,,,,,,,
MDV    ,HLOF,2019,7,5102072,30.75,,,,,,,,,,,,,
MDV    ,HLOF,2019,8,5102072,14.55,,,,,,,,,,,,,
MDV    ,HLOF,2019,9,5102072,19.49,,,,,,,,,,,,,
MDV    ,HLOF,2019,10,5102072,,,,,,,,,,,,,,
MDV    ,HLOF,2019,11,5102072,31.08,,,,,,,,,,,,,
MDV    ,HLOF,2019,12,5102072,21.08,,,,,,,,,,,,,
MDV    ,HLOF,2020,1,5102072,19.76,,,,,,,,,,,,,
MDV    ,HLOF,2020,2,5102072,19.68,,,,,,,,,,,,,
MDV    ,HLOF,2020,3,5102072,70.18,,,,,,,,,,,,,
MDV    ,HLOF,2020,4,5102072,50.36,,,,,,,,,,,,,
MDV    ,HLOF,2020,5,5102072,12.57,,,,,,,,,,,,,
MDV    ,HLOF,2020,6,5102072,9.18,,,,,,,,,,,,,
MDV    ,HLOF,2020,7,5102072,14.2,,,,,,,,,,,,,
MDV    ,HLOF,2020,8,5102072,,,,,,,,,,,,,,
MDV    ,HLOF,2020,10,5102072,11.7,,,,,,,,,,,,,
MDV    ,HLOF,2020,11,5102072,49.84,,,,,,,,,,,,,
MDV    ,HLOF,2020,12,5102072,21.55,,17.08,,,,,,,,,,,
MDV    ,HLOF,2021,1,5102072,10.3,,,,,,,,,,,,,
MDV    ,HLOF,2021,3,5102072,6.61,,,,,,,,,,,,,
MDV    ,HLOF,2021,4,5102072,3.58,,,,,,,,,,,,,
MDV    ,HLOF,2021,5,5102072,3.78,,,,,,,,,,,,,
MDV    ,HLOF,2021,7,5102072,15.64,,,,,,,,,,,,,
MDV    ,HLOF,2021,8,5102072,7.18,,,,,,,,,,,,,
MDV    ,HLOF,2021,9,5102072,20.06,,,,,,,,,,,,,
MDV    ,HLOF,2021,10,5102072,7.25,,,,,,,,,,,,,
MDV    ,HLOF,2021,11,5102072,1.89,,,,,,,,,,,,,
MDV    ,HLOF,2021,12,5102072,0.85,,,,,,,,,,,,,
MDV    ,HLOF,2022,2,5102072,,,,,,,,,,,,,,
MDV    ,HLOF,2022,3,5102072,6.8,,,,,,,,,,,,,
MDV    ,HLOF,2022,4,5102072,6.08,,,,,,,,,,,,,
MDV    ,HLOF,2022,5,5102072,3.58,,,,,,,,,,,,,
MDV    ,HLOF,2022,6,5102072,10.52,,,,,,,,,,,,,
MDV    ,HLOF,2022,7,5102072,11.47,,,,,,,,,,,,,
MDV    ,HLOF,2022,9,5102072,16.42,,,,,,,,,,,,,
MDV    ,HLOF,2022,10,5102072,7.23,,,,,,,,,,,,,
MDV    ,HLOF,2022,11,5102072,37.99,,,,,,,,,,,,,
MDV    ,HLOF,2022,12,5102072,21.09,,,,,,,,,,,,,
MDV    ,HLOF,2023,1,5102072,10.65,,,,,,,,,,,,,
MDV    ,HLOF,2023,3,5102072,14.33,,,,,,,,,,,,,
MDV    ,HLOF,2023,6,5102072,4.84,,,,,,,,,,,,,
MDV    ,HLOF,2023,8,5102072,,,,,,,,,,,,,,
MDV    ,HLOF,2023,10,5102072,4.16E-03,,,,,,,,,,,,,
MDV    ,HLOF,2023,12,5102072,4.77,,,,,,,,,,,,,
MDV    ,LLCO,2013,12,5102072,0.99,5.33,,,,,,,,,1.08,,0.04,
MDV    ,LLCO,2019,3,5102072,0.33,0.04,,,,,,,,,0.15,,,
MDV    ,TROL,2013,1,5102072,5.38,,3.45,,,,,,,,,,,
MDV    ,TROL,2013,2,5102072,,,,,,,,5.50E-03,,,,,,
MDV    ,TROL,2013,6,5102072,1.78,,,,,,,,,,,,,
MDV    ,TROL,2013,7,5102072,0.53,,,,,,,,,,,,,
MDV    ,TROL,2013,8,5102072,0.18,,0.21,,,,,,,,,,,
MDV    ,TROL,2013,9,5102072,37.51,,,,,,,,,,,,,
MDV    ,TROL,2014,6,5102072,2.94,,,,,,,,,,,,,
MDV    ,TROL,2014,7,5102072,,,3.43,,,,,,,,,,,
MDV    ,HAND,2013,1,5102073,104.2,,2.19,,,,,0.05,,,0.5,,,0.24
MDV    ,HAND,2013,2,5102073,175.74,,0.48,,,,,0.05,,,0.22,,,
MDV    ,HAND,2013,3,5102073,149.13,,11.46,,,,,0.22,,,0.1,,,7.70E-03
MDV    ,HAND,2013,4,5102073,307.88,,,,,,0.01,0.02,,,0.14,,,0.15
MDV    ,HAND,2013,5,5102073,271.58,,,,,,,,,,,,,
MDV    ,HAND,2013,6,5102073,390.66,,1.78,,,,0.08,0.07,,,0.4,,,
MDV    ,HAND,2013,7,5102073,520.15,,0.85,,,,0.01,0.01,,,0.02,,,
MDV    ,HAND,2013,8,5102073,474.96,,1.36,,,,4.80E-03,0.02,,,,,,
MDV    ,HAND,2013,9,5102073,640.12,,8.25,,,,0.02,0.1,,,,,,0.03
MDV    ,HAND,2013,10,5102073,862.15,,1.26,,,,0.07,0.01,,,0.23,,,0.03
MDV    ,HAND,2013,11,5102073,1058.06,,5.91,,,,,0.03,,,,,,0.02
MDV    ,HAND,2013,12,5102073,669.83,,,,,,,,,,,,,
MDV    ,HAND,2014,1,5102073,127.23,,,,,,,,,,,,,
MDV    ,HAND,2014,2,5102073,46.27,,2.32,,,,0.04,0.25,,,,,,0.06
MDV    ,HAND,2014,3,5102073,99.66,14.37,,,,,,,,,,,,
MDV    ,HAND,2014,4,5102073,364.62,,2.71,,,,,,,,,,,
MDV    ,HAND,2014,5,5102073,93.07,,5.62,,,,,,,,,,,
MDV    ,HAND,2014,6,5102073,74.6,,0.58,,,,,,,,,,,6.40E-03
MDV    ,HAND,2014,7,5102073,34.58,,4.65,,,,0.04,0.08,,,,,,0.03
MDV    ,HAND,2014,8,5102073,89.91,,,,,,,,,,,,,
MDV    ,HAND,2014,9,5102073,77.76,,4.69,,,,,8.54E-03,,,,,,6.40E-03
MDV    ,HAND,2014,10,5102073,94.3,,16.5,,,,0.02,0.04,,,,,,0.01
MDV    ,HAND,2014,11,5102073,31.15,,3.49,,,,0.03,0.03,,,,,,0.01
MDV    ,HAND,2014,12,5102073,46.85,,0.81,,,,,,,,,,,
MDV    ,HAND,2015,1,5102073,115.96,0.38,4.24,,,,,,,,,,,
MDV    ,HAND,2015,2,5102073,71.06,4.72,0.07,,,,,2.13E-03,,,,,,
MDV    ,HAND,2015,3,5102073,245.91,0.15,,,,,,,,,,,,
MDV    ,HAND,2015,4,5102073,348.11,4.02,31.08,,,,,,,,0.14,,,
MDV    ,HAND,2015,5,5102073,108.94,,,,,,,,,,,,,
MDV    ,HAND,2015,6,5102073,65.84,,,,,,,,,,,,,
MDV    ,HAND,2015,7,5102073,11.27,0.27,0.13,,,,,,,,,,,
MDV    ,HAND,2015,8,5102073,56.26,32.49,0.19,,,,0.01,0.14,,,,,1,1.18
MDV    ,HAND,2015,9,5102073,81.35,0.15,0.06,,,,,2.13E-03,,,,,,
MDV    ,HAND,2015,10,5102073,77.2,0.11,,,,,,0.01,,,,,,
MDV    ,HAND,2015,11,5102073,142.9,0.07,0.14,,,,,6.40E-03,,,,,,
MDV    ,HAND,2015,12,5102073,71.31,0.42,0.05,,,,,6.40E-03,,,,,,
MDV    ,HAND,2016,1,5102073,60.42,0.37,0.01,,,,,,,,4.03,0.01,,6.73E-03
MDV    ,HAND,2016,2,5102073,20.01,,,,,,0.43,,,,,,,
MDV    ,HAND,2016,3,5102073,98.73,25.19,5.15,,,,0.01,0.1,,,1.01,,,0.04
MDV    ,HAND,2016,4,5102073,355.43,,,,,,,,,,,,,
MDV    ,HAND,2016,5,5102073,84.07,17.73,,,,,,0.03,,,,,,
MDV    ,HAND,2016,6,5102073,20.89,,,,,,,,,,,,,
MDV    ,HAND,2016,7,5102073,50.12,0.5,,,,,,,,,0.51,,,
MDV    ,HAND,2016,8,5102073,89.29,,,,,,,,,,,,,
MDV    ,HAND,2016,9,5102073,81.07,0.37,0.01,,,,7.48E-03,7.94E-03,,,1,0.01,,5.98E-04
MDV    ,HAND,2016,10,5102073,186.79,,,,,,,,,,,,,
MDV    ,HAND,2016,11,5102073,76.8,,,,,,,,,,,,,
MDV    ,HAND,2016,12,5102073,151.19,,,,,,,,,,1.02,8.70E-03,,
MDV    ,HAND,2017,1,5102073,43.31,,,,,,,,,,,,,
MDV    ,HAND,2017,2,5102073,130.08,,,,,,,,,,,,,
MDV    ,HAND,2017,3,5102073,49.16,0.14,11.16,,,,0.53,0.33,,,,0.03,,1.12
MDV    ,HAND,2017,4,5102073,38.75,,,,,,,,,,,,,
MDV    ,HAND,2017,5,5102073,144.27,,4.12,,,,,,,,,,,
MDV    ,HAND,2017,6,5102073,66.61,,0.98,,,,8.86E-03,0.06,,,,,,0.09
MDV    ,HAND,2017,7,5102073,61.22,,14.04,,,,,,,,,,,
MDV    ,HAND,2017,8,5102073,28.06,,,,,,,,,,,,,
MDV    ,HAND,2017,9,5102073,18.49,,,,,,,,,,,,,
MDV    ,HAND,2017,10,5102073,42.22,,,,,,,,,,,,,
MDV    ,HAND,2017,11,5102073,4.51,,,,,,,,,,,,,
MDV    ,HAND,2017,12,5102073,39.29,,,,,,,,,,,,,
MDV    ,HAND,2018,1,5102073,60.62,,,,,,,,,,,,,
MDV    ,HAND,2018,2,5102073,30.38,,,,,,,,,,,,,
MDV    ,HAND,2018,3,5102073,42.5,,,,,,,,,,,,,
MDV    ,HAND,2018,4,5102073,68.37,,,,,,,,,,,,,
MDV    ,HAND,2018,5,5102073,28.73,,,,,,,,,,,,,
MDV    ,HAND,2018,6,5102073,9.52,,,,,,,,,,,,,
MDV    ,HAND,2018,7,5102073,26.76,,,,,,,,,,,,,
MDV    ,HAND,2018,8,5102073,17.17,,,,,,,,,,,,,
MDV    ,HAND,2018,9,5102073,31.84,,,,,,,,,,,,,
MDV    ,HAND,2018,10,5102073,15.16,,,,,,,,,,,,,
MDV    ,HAND,2019,1,5102073,40.62,,,,,,,,,,,,,
MDV    ,HAND,2019,2,5102073,70.14,,,,,,,,,,,,,
MDV    ,HAND,2019,3,5102073,158.39,,0.73,,,,,,,,,,,
MDV    ,HAND,2019,4,5102073,258,,3.82,,,,,,,,,,,
MDV    ,HAND,2019,5,5102073,214.86,,1.03,,,,,,,,,,,
MDV    ,HAND,2019,6,5102073,49.02,,10.5,,,,,,,,,,,
MDV    ,HAND,2019,7,5102073,92.18,,,,,,,,,,,,,
MDV    ,HAND,2019,8,5102073,36.95,,7.63,,,,,,,,,,,
MDV    ,HAND,2019,9,5102073,67.55,,10.76,,,,,,,,,,,
MDV    ,HAND,2019,10,5102073,129.81,,0.17,,,,,,,,,,,
MDV    ,HAND,2019,11,5102073,111.35,,13.49,,,,,,,,,,,
MDV    ,HAND,2019,12,5102073,42.23,,,,,,,,,,,,,
MDV    ,HAND,2020,1,5102073,58.86,,,,,,,,,,,,,
MDV    ,HAND,2020,2,5102073,281.34,0.05,12.98,,,,,,,,0.02,,,0.01
MDV    ,HAND,2020,3,5102073,191.53,,1.62,,,,,,,,,,,
MDV    ,HAND,2020,4,5102073,228.56,,1.26,,,,,0.08,,,,,,0.1
MDV    ,HAND,2020,5,5102073,11.35,,,,,,,,,,,,,
MDV    ,HAND,2020,6,5102073,57.23,,24.83,,,,,,,,,,,
MDV    ,HAND,2020,7,5102073,57.3,,,,,,,,,,,,,
MDV    ,HAND,2020,8,5102073,136.27,,,,,,,,,,,,,
MDV    ,HAND,2020,9,5102073,179.57,,0.59,,,,,,,,,,,
MDV    ,HAND,2020,10,5102073,82.15,,,,,,,,,,,,,
MDV    ,HAND,2020,11,5102073,129.38,,8.2,,,,,,,,,,,
MDV    ,HAND,2020,12,5102073,95.88,,5.69,,,,,,,,,,,0.3
MDV    ,HAND,2021,1,5102073,75.98,,2.1,,,,,,,,,,,
MDV    ,HAND,2021,2,5102073,90.51,,0.58,,,,,,,,,,,
MDV    ,HAND,2021,3,5102073,144.29,,,,,,,,,,,,,
MDV    ,HAND,2021,4,5102073,29,,,,,,,,,,,,,0.01
MDV    ,HAND,2021,5,5102073,21.14,,,,,,,,,,,,,
MDV    ,HAND,2021,6,5102073,32.21,,,,,,,,,,,,,
MDV    ,HAND,2021,7,5102073,88.05,,,,,,,,,,,,,
MDV    ,HAND,2021,8,5102073,90.94,,,,,,,,,,,,,9.10E-03
