BigCellID,BigCellTypeID,x,y
437,1,-177.5,13.5
438,1,-177.5,12.5
439,1,-177.5,11.5
440,1,-177.5,10.5
441,1,-177.5,9.5
442,1,-177.5,8.5
443,1,-177.5,7.5
444,1,-177.5,6.5
445,1,-177.5,5.5
446,1,-177.5,4.5
447,1,-177.5,3.5
448,1,-177.5,2.5
449,1,-177.5,1.5
450,1,-177.5,0.5
451,1,-177.5,-0.5
452,1,-177.5,-1.5
453,1,-177.5,-2.5
454,1,-177.5,-3.5
455,1,-177.5,-4.5
456,1,-177.5,-5.5
457,1,-177.5,-6.5
458,1,-177.5,-7.5
459,1,-177.5,-8.5
460,1,-177.5,-9.5
461,1,-177.5,-10.5
462,1,-177.5,-11.5
463,1,-177.5,-12.5
464,1,-177.5,-13.5
465,1,-177.5,-14.5
466,1,-177.5,-15.5
467,1,-177.5,-16.5
468,1,-177.5,-17.5
469,1,-177.5,-18.5
470,1,-177.5,-19.5
471,1,-177.5,-20.5
472,1,-177.5,-21.5
473,1,-177.5,-22.5
474,1,-177.5,-23.5
475,1,-177.5,-24.5
476,1,-177.5,-25.5
477,1,-177.5,-26.5
478,1,-177.5,-27.5
479,1,-177.5,-28.5
480,1,-177.5,-29.5
481,1,-177.5,-30.5
482,1,-177.5,-31.5
483,1,-177.5,-32.5
484,1,-177.5,-33.5
485,1,-177.5,-34.5
486,1,-177.5,-35.5
487,1,-177.5,-36.5
488,1,-177.5,-37.5
489,1,-177.5,-38.5
490,1,-177.5,-39.5
491,1,-177.5,-40.5
492,1,-177.5,-41.5
493,1,-177.5,-42.5
494,1,-177.5,-43.5
495,1,-177.5,-44.5
496,1,-177.5,-45.5
497,1,-177.5,-46.5
498,1,-177.5,-47.5
499,1,-177.5,-48.5
500,1,-177.5,-49.5
501,1,-177.5,-50.5
502,1,-177.5,-51.5
503,1,-177.5,-52.5
504,1,-177.5,-53.5
505,1,-177.5,-54.5
506,1,-177.5,-55.5
507,1,-177.5,-56.5
508,1,-177.5,-57.5
509,1,-177.5,-58.5
510,1,-177.5,-59.5
511,1,-177.5,-60.5
512,1,-177.5,-61.5
513,1,-177.5,-62.5
514,1,-177.5,-63.5
515,1,-177.5,-64.5
516,1,-177.5,-65.5
517,1,-177.5,-66.5
518,1,-177.5,-67.5
519,1,-177.5,-68.5
520,1,-177.5,-69.5
521,1,-177.5,-70.5
522,1,-177.5,-71.5
523,1,-177.5,-72.5
524,1,-177.5,-73.5
525,1,-177.5,-74.5
526,1,-177.5,-75.5
527,1,-177.5,-76.5
528,1,-177.5,-77.5
529,1,-177.5,-78.5
530,1,-177.5,-79.5
531,1,-177.5,-80.5
532,1,-177.5,-81.5
533,1,-177.5,-82.5
534,1,-177.5,-83.5
535,1,-177.5,-84.5
559,1,-176.5,71.5
560,1,-176.5,70.5
561,1,-176.5,69.5
562,1,-176.5,68.5
563,1,-176.5,67.5
565,1,-176.5,65.5
566,1,-176.5,64.5
567,1,-176.5,63.5
568,1,-176.5,62.5
569,1,-176.5,61.5
570,1,-176.5,60.5
571,1,-176.5,59.5
572,1,-176.5,58.5
573,1,-176.5,57.5
574,1,-176.5,56.5
575,1,-176.5,55.5
576,1,-176.5,54.5
577,1,-176.5,53.5
578,1,-176.5,52.5
579,1,-176.5,51.5
580,1,-176.5,50.5
581,1,-176.5,49.5
582,1,-176.5,48.5
583,1,-176.5,47.5
584,1,-176.5,46.5
585,1,-176.5,45.5
586,1,-176.5,44.5
587,1,-176.5,43.5
588,1,-176.5,42.5
589,1,-176.5,41.5
590,1,-176.5,40.5
591,1,-176.5,39.5
592,1,-176.5,38.5
593,1,-176.5,37.5
594,1,-176.5,36.5
595,1,-176.5,35.5
596,1,-176.5,34.5
597,1,-176.5,33.5
598,1,-176.5,32.5
599,1,-176.5,31.5
600,1,-176.5,30.5
601,1,-176.5,29.5
602,1,-176.5,28.5
603,1,-176.5,27.5
604,1,-176.5,26.5
605,1,-176.5,25.5
606,1,-176.5,24.5
607,1,-176.5,23.5
608,1,-176.5,22.5
609,1,-176.5,21.5
610,1,-176.5,20.5
611,1,-176.5,19.5
612,1,-176.5,18.5
613,1,-176.5,17.5
614,1,-176.5,16.5
615,1,-176.5,15.5
616,1,-176.5,14.5
617,1,-176.5,13.5
618,1,-176.5,12.5
619,1,-176.5,11.5
620,1,-176.5,10.5
621,1,-176.5,9.5
622,1,-176.5,8.5
623,1,-176.5,7.5
624,1,-176.5,6.5
625,1,-176.5,5.5
626,1,-176.5,4.5
627,1,-176.5,3.5
628,1,-176.5,2.5
629,1,-176.5,1.5
630,1,-176.5,0.5
631,1,-176.5,-0.5
632,1,-176.5,-1.5
633,1,-176.5,-2.5
634,1,-176.5,-3.5
635,1,-176.5,-4.5
636,1,-176.5,-5.5
637,1,-176.5,-6.5
638,1,-176.5,-7.5
639,1,-176.5,-8.5
640,1,-176.5,-9.5
641,1,-176.5,-10.5
642,1,-176.5,-11.5
643,1,-176.5,-12.5
644,1,-176.5,-13.5
645,1,-176.5,-14.5
646,1,-176.5,-15.5
647,1,-176.5,-16.5
648,1,-176.5,-17.5
649,1,-176.5,-18.5
650,1,-176.5,-19.5
651,1,-176.5,-20.5
652,1,-176.5,-21.5
653,1,-176.5,-22.5
654,1,-176.5,-23.5
655,1,-176.5,-24.5
656,1,-176.5,-25.5
657,1,-176.5,-26.5
658,1,-176.5,-27.5
659,1,-176.5,-28.5
660,1,-176.5,-29.5
661,1,-176.5,-30.5
662,1,-176.5,-31.5
663,1,-176.5,-32.5
664,1,-176.5,-33.5
665,1,-176.5,-34.5
666,1,-176.5,-35.5
667,1,-176.5,-36.5
668,1,-176.5,-37.5
669,1,-176.5,-38.5
670,1,-176.5,-39.5
671,1,-176.5,-40.5
672,1,-176.5,-41.5
673,1,-176.5,-42.5
674,1,-176.5,-43.5
675,1,-176.5,-44.5
676,1,-176.5,-45.5
677,1,-176.5,-46.5
678,1,-176.5,-47.5
679,1,-176.5,-48.5
680,1,-176.5,-49.5
681,1,-176.5,-50.5
682,1,-176.5,-51.5
683,1,-176.5,-52.5
684,1,-176.5,-53.5
685,1,-176.5,-54.5
686,1,-176.5,-55.5
687,1,-176.5,-56.5
688,1,-176.5,-57.5
689,1,-176.5,-58.5
690,1,-176.5,-59.5
691,1,-176.5,-60.5
692,1,-176.5,-61.5
693,1,-176.5,-62.5
694,1,-176.5,-63.5
695,1,-176.5,-64.5
696,1,-176.5,-65.5
697,1,-176.5,-66.5
698,1,-176.5,-67.5
699,1,-176.5,-68.5
700,1,-176.5,-69.5
701,1,-176.5,-70.5
702,1,-176.5,-71.5
703,1,-176.5,-72.5
704,1,-176.5,-73.5
705,1,-176.5,-74.5
706,1,-176.5,-75.5
707,1,-176.5,-76.5
708,1,-176.5,-77.5
709,1,-176.5,-78.5
710,1,-176.5,-79.5
711,1,-176.5,-80.5
712,1,-176.5,-81.5
713,1,-176.5,-82.5
714,1,-176.5,-83.5
715,1,-176.5,-84.5
739,1,-175.5,71.5
