Country,Area,Year,Sector,Gear,SpeciesCode,Catch
AUSTRALIA,Eastern Indian Ocean,1982,IND,BB,BET,7
AUSTRALIA,Eastern Indian Ocean,1982,IND,BB,SBF,4452
AUSTRALIA,Eastern Indian Ocean,1982,IND,BB,SKJ,28
AUSTRALIA,Eastern Indian Ocean,1982,IND,PS,ALB,12
AUSTRALIA,Eastern Indian Ocean,1982,IND,PS,SBF,15276
AUSTRALIA,Eastern Indian Ocean,1982,IND,PS,SKJ,290
AUSTRALIA,Eastern Indian Ocean,1982,IND,PS,TUN,4
AUSTRALIA,Eastern Indian Ocean,1982,IND,PS,YFT,8
AUSTRALIA,Eastern Indian Ocean,1982,ART,TROL,KGX,248
AUSTRALIA,Eastern Indian Ocean,1983,IND,BB,ALB,13
AUSTRALIA,Eastern Indian Ocean,1983,IND,BB,BET,28
AUSTRALIA,Eastern Indian Ocean,1983,IND,BB,SBF,4448
AUSTRALIA,Eastern Indian Ocean,1983,IND,BB,SKJ,36
AUSTRALIA,Eastern Indian Ocean,1983,IND,PS,SBF,12889
AUSTRALIA,Eastern Indian Ocean,1983,IND,PS,SKJ,36
AUSTRALIA,Eastern Indian Ocean,1983,IND,PS,TUN,1
AUSTRALIA,Eastern Indian Ocean,1983,IND,PS,YFT,18
AUSTRALIA,Eastern Indian Ocean,1983,ART,TROL,KGX,231
AUSTRALIA,Eastern Indian Ocean,1983,ART,TROL,LOT,9
AUSTRALIA,Eastern Indian Ocean,1983,ART,TROL,SBF,3
AUSTRALIA,Eastern Indian Ocean,1984,IND,BB,ALB,28
AUSTRALIA,Eastern Indian Ocean,1984,IND,BB,BET,1
AUSTRALIA,Eastern Indian Ocean,1984,IND,BB,SBF,3717
AUSTRALIA,Eastern Indian Ocean,1984,IND,BB,SKJ,6
AUSTRALIA,Eastern Indian Ocean,1984,IND,PS,FRI,1
AUSTRALIA,Eastern Indian Ocean,1984,IND,PS,SBF,11785
AUSTRALIA,Eastern Indian Ocean,1984,IND,PS,SKJ,24
AUSTRALIA,Eastern Indian Ocean,1984,IND,PS,YFT,41
AUSTRALIA,Eastern Indian Ocean,1984,ART,TROL,KGX,256
AUSTRALIA,Eastern Indian Ocean,1984,ART,TROL,LOT,131
AUSTRALIA,Eastern Indian Ocean,1985,IND,BB,ALB,4
AUSTRALIA,Eastern Indian Ocean,1985,IND,BB,BET,2
AUSTRALIA,Eastern Indian Ocean,1985,IND,BB,SBF,2037
AUSTRALIA,Eastern Indian Ocean,1985,IND,BB,SKJ,4
AUSTRALIA,Eastern Indian Ocean,1985,IND,PS,SBF,12159
AUSTRALIA,Eastern Indian Ocean,1985,IND,PS,SKJ,132
AUSTRALIA,Eastern Indian Ocean,1985,IND,PS,TUN,20
AUSTRALIA,Eastern Indian Ocean,1985,IND,PS,YFT,43
AUSTRALIA,Eastern Indian Ocean,1985,ART,TROL,KGX,300
AUSTRALIA,Eastern Indian Ocean,1985,ART,TROL,LOT,138
AUSTRALIA,Eastern Indian Ocean,1986,IND,BB,BET,3
AUSTRALIA,Eastern Indian Ocean,1986,IND,BB,SBF,1082
AUSTRALIA,Eastern Indian Ocean,1986,IND,BB,SKJ,51
AUSTRALIA,Eastern Indian Ocean,1986,IND,PS,SBF,11408
AUSTRALIA,Eastern Indian Ocean,1986,IND,PS,SKJ,584
AUSTRALIA,Eastern Indian Ocean,1986,IND,PS,TUN,20
AUSTRALIA,Eastern Indian Ocean,1986,IND,PS,YFT,42
AUSTRALIA,Eastern Indian Ocean,1986,ART,TROL,KGX,300
AUSTRALIA,Eastern Indian Ocean,1986,ART,TROL,LOT,135
AUSTRALIA,Eastern Indian Ocean,1987,IND,BB,ALB,1
AUSTRALIA,Eastern Indian Ocean,1987,IND,BB,BET,14
AUSTRALIA,Eastern Indian Ocean,1987,IND,BB,SBF,1210
AUSTRALIA,Eastern Indian Ocean,1987,IND,BB,SKJ,177
AUSTRALIA,Eastern Indian Ocean,1987,IND,PS,SBF,9593
AUSTRALIA,Eastern Indian Ocean,1987,IND,PS,SKJ,1032
AUSTRALIA,Eastern Indian Ocean,1987,IND,PS,TUN,15
AUSTRALIA,Eastern Indian Ocean,1987,IND,PS,YFT,40
AUSTRALIA,Eastern Indian Ocean,1987,ART,TROL,KGX,230
AUSTRALIA,Eastern Indian Ocean,1987,ART,TROL,LOT,16
AUSTRALIA,Eastern Indian Ocean,1988,IND,BB,SBF,1078
AUSTRALIA,Eastern Indian Ocean,1988,IND,BB,SKJ,38
AUSTRALIA,Eastern Indian Ocean,1988,IND,PS,SBF,9500
AUSTRALIA,Eastern Indian Ocean,1988,IND,PS,SKJ,44
AUSTRALIA,Eastern Indian Ocean,1988,IND,PS,YFT,12
AUSTRALIA,Eastern Indian Ocean,1988,ART,TROL,KGX,310
AUSTRALIA,Eastern Indian Ocean,1988,ART,TROL,LOT,40
AUSTRALIA,Eastern Indian Ocean,1989,IND,BB,ALB,1
AUSTRALIA,Eastern Indian Ocean,1989,IND,BB,BET,1
AUSTRALIA,Eastern Indian Ocean,1989,IND,BB,SBF,415
AUSTRALIA,Eastern Indian Ocean,1989,IND,BB,SKJ,3
AUSTRALIA,Eastern Indian Ocean,1989,IND,BB,YFT,1
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,ALB,29
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,BET,18
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,BIL,91
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,BUM,12
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,LOT,1
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,MLS,42
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,SBF,19
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,SWO,37
AUSTRALIA,Eastern Indian Ocean,1989,IND,ELL,YFT,207
AUSTRALIA,Eastern Indian Ocean,1989,ART,GILL,KGX,6
AUSTRALIA,Eastern Indian Ocean,1989,ART,HAND,COM,16
AUSTRALIA,Eastern Indian Ocean,1989,ART,HAND,KGX,25
AUSTRALIA,Eastern Indian Ocean,1989,ART,HAND,LOT,14
AUSTRALIA,Eastern Indian Ocean,1989,ART,HAND,SKJ,1
AUSTRALIA,Eastern Indian Ocean,1989,IND,PS,KGX,14
AUSTRALIA,Eastern Indian Ocean,1989,IND,PS,SBF,4638
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,COM,195
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,KAW,1
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,KGX,48
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,LOT,4
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,SKJ,8
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,TUN,9
AUSTRALIA,Eastern Indian Ocean,1989,ART,TROL,YFT,8
AUSTRALIA,Eastern Indian Ocean,1989,ART,UNCL,COM,5
AUSTRALIA,Eastern Indian Ocean,1989,ART,UNCL,KGX,17
AUSTRALIA,Eastern Indian Ocean,1989,ART,UNCL,SKH,6500
AUSTRALIA,Eastern Indian Ocean,1989,ART,UNCL,SKJ,393
AUSTRALIA,Eastern Indian Ocean,1989,ART,UNCL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1990,IND,BB,SBF,257
AUSTRALIA,Eastern Indian Ocean,1990,IND,BB,SKJ,46
AUSTRALIA,Eastern Indian Ocean,1990,IND,BB,YFT,11
AUSTRALIA,Eastern Indian Ocean,1990,IND,ELL,LOT,1
AUSTRALIA,Eastern Indian Ocean,1990,IND,ELL,SBF,998
AUSTRALIA,Eastern Indian Ocean,1990,IND,ELL,YFT,66
AUSTRALIA,Eastern Indian Ocean,1990,ART,GILL,KGX,7
AUSTRALIA,Eastern Indian Ocean,1990,ART,HAND,COM,47
AUSTRALIA,Eastern Indian Ocean,1990,ART,HAND,KGX,35
AUSTRALIA,Eastern Indian Ocean,1990,ART,HAND,LOT,42
AUSTRALIA,Eastern Indian Ocean,1990,ART,HAND,SKJ,1
AUSTRALIA,Eastern Indian Ocean,1990,ART,HAND,YFT,1
AUSTRALIA,Eastern Indian Ocean,1990,IND,PS,KGX,10
AUSTRALIA,Eastern Indian Ocean,1990,IND,PS,SBF,3603
AUSTRALIA,Eastern Indian Ocean,1990,IND,PS,SKJ,583
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,COM,160
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,KGX,65
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,LOT,9
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,SBF,38
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,SKJ,9
AUSTRALIA,Eastern Indian Ocean,1990,ART,TROL,YFT,2
AUSTRALIA,Eastern Indian Ocean,1990,ART,UNCL,COM,4
AUSTRALIA,Eastern Indian Ocean,1990,ART,UNCL,KGX,14
AUSTRALIA,Eastern Indian Ocean,1990,ART,UNCL,SKH,5000
AUSTRALIA,Eastern Indian Ocean,1990,ART,UNCL,SKJ,135
AUSTRALIA,Eastern Indian Ocean,1991,IND,BB,SBF,104
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,ALB,59
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,BET,3
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,MLS,1
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,SBF,1147
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,SWO,3
AUSTRALIA,Eastern Indian Ocean,1991,IND,ELL,YFT,22
