FishingEntity,BigCellID,FishingEntityID,CountryGroupID
India,41119,82,2
India,40759,82,2
India,40937,82,2
India,41117,82,2
India,41323,82,2
India,41322,82,2
India,41320,82,2
India,41321,82,2
India,41319,82,2
India,41318,82,2
India,41316,82,2
India,41317,82,2
India,41315,82,2
India,41314,82,2
India,41313,82,2
India,41312,82,2
India,41311,82,2
India,41310,82,2
India,41309,82,2
India,41308,82,2
India,41307,82,2
India,41306,82,2
India,41305,82,2
India,41125,82,2
India,41304,82,2
India,41124,82,2
India,41299,82,2
India,41298,82,2
India,41297,82,2
India,41116,82,2
India,41296,82,2
India,41324,82,2
India,41503,82,2
India,41504,82,2
India,41502,82,2
India,41500,82,2
India,41501,82,2
India,41499,82,2
India,41498,82,2
India,41496,82,2
India,41497,82,2
India,41495,82,2
India,41494,82,2
India,41493,82,2
India,41491,82,2
India,41492,82,2
India,41490,82,2
India,41489,82,2
India,41487,82,2
India,41488,82,2
India,41486,82,2
India,41485,82,2
India,41484,82,2
India,41302,82,2
India,41303,82,2
India,41482,82,2
India,41483,82,2
India,41478,82,2
India,41479,82,2
India,41477,82,2
India,41505,82,2
India,41481,82,2
India,41480,82,2
India,41476,82,2
India,41684,82,2
India,41685,82,2
India,41683,82,2
India,41682,82,2
India,41681,82,2
India,41680,82,2
India,41679,82,2
India,41678,82,2
India,41676,82,2
India,41677,82,2
India,41675,82,2
India,41674,82,2
India,41673,82,2
India,41671,82,2
India,41672,82,2
India,41670,82,2
India,41669,82,2
India,41667,82,2
India,41668,82,2
India,41666,82,2
India,41665,82,2
India,41664,82,2
India,41662,82,2
India,41663,82,2
India,41661,82,2
India,41660,82,2
India,41658,82,2
India,41659,82,2
India,41657,82,2
India,41656,82,2
India,42045,82,2
India,42044,82,2
India,41864,82,2
India,41865,82,2
India,42043,82,2
India,41863,82,2
India,41862,82,2
India,42042,82,2
India,41861,82,2
India,42041,82,2
India,42040,82,2
India,41860,82,2
India,41859,82,2
India,42039,82,2
India,42038,82,2
India,41858,82,2
India,41856,82,2
India,41857,82,2
India,42037,82,2
India,42036,82,2
India,41855,82,2
India,42035,82,2
India,42034,82,2
India,41854,82,2
India,41853,82,2
India,42033,82,2
India,42032,82,2
India,41852,82,2
India,41851,82,2
India,42031,82,2
India,41850,82,2
India,42030,82,2
India,42029,82,2
India,41849,82,2
India,41847,82,2
India,42027,82,2
India,42028,82,2
India,41848,82,2
India,42026,82,2
India,41846,82,2
India,41845,82,2
India,42025,82,2
India,42024,82,2
India,41844,82,2
India,41842,82,2
India,41843,82,2
India,42023,82,2
India,42022,82,2
India,41841,82,2
India,42021,82,2
India,41840,82,2
India,42020,82,2
India,42019,82,2
India,41838,82,2
India,42018,82,2
India,41839,82,2
India,42017,82,2
India,41837,82,2
India,41836,82,2
India,42016,82,2
India,42225,82,2
India,42224,82,2
India,42223,82,2
India,42222,82,2
India,42220,82,2
India,42221,82,2
India,42219,82,2
India,42218,82,2
India,42216,82,2
India,42217,82,2
India,42215,82,2
India,42214,82,2
India,42213,82,2
India,42211,82,2
India,42212,82,2
India,42210,82,2
India,42209,82,2
India,42208,82,2
India,42207,82,2
India,42206,82,2
India,42205,82,2
India,42204,82,2
India,42202,82,2
India,42203,82,2
India,42201,82,2
India,42200,82,2
India,42198,82,2
India,42199,82,2
India,42197,82,2
India,42196,82,2
India,42195,82,2
India,42193,82,2
India,42194,82,2
India,42186,82,2
India,42404,82,2
India,42405,82,2
India,42403,82,2
India,42402,82,2
India,42401,82,2
India,42400,82,2
India,42399,82,2
India,42398,82,2
India,42396,82,2
India,42397,82,2
India,42395,82,2
India,42394,82,2
India,42393,82,2
India,42391,82,2
India,42392,82,2
India,42390,82,2
India,42389,82,2
India,42388,82,2
India,42387,82,2
India,42386,82,2
India,42385,82,2
India,42384,82,2
India,42383,82,2
India,42382,82,2
India,42381,82,2
India,42380,82,2
India,42379,82,2
India,42378,82,2
India,42377,82,2
India,42376,82,2
India,42375,82,2
India,42374,82,2
India,42373,82,2
India,42365,82,2
India,42185,82,2
India,42184,82,2
India,42364,82,2
India,42366,82,2
India,42363,82,2
India,42585,82,2
India,42765,82,2
India,42584,82,2
India,42764,82,2
India,42583,82,2
India,42763,82,2
India,42762,82,2
India,42582,82,2
India,42580,82,2
India,42760,82,2
India,42761,82,2
India,42581,82,2
India,42759,82,2
