SquareTypeCode,QuadID,Lon,Lat,BigCellTypeID,x,y
5x10,4,10,5,3,-15,7.5
5x10,4,50,5,3,-55,7.5
5x10,4,50,10,3,-55,12.5
5x10,4,60,10,3,-65,12.5
5x10,4,40,15,3,-45,17.5
5x10,4,50,15,3,-55,17.5
5x10,4,20,20,3,-25,22.5
5x10,4,30,20,3,-35,22.5
5x10,4,50,20,3,-55,22.5
5x10,4,60,20,3,-65,22.5
5x10,4,10,25,3,-15,27.5
5x10,4,50,25,3,-55,27.5
5x10,4,80,25,3,-85,27.5
5x10,4,10,30,3,-15,32.5
5x10,4,20,30,3,-25,32.5
5x10,4,50,30,3,-55,32.5
5x10,4,0,35,3,-5,37.5
5x10,4,10,35,3,-15,37.5
5x10,4,30,35,3,-35,37.5
5x10,4,10,40,3,-15,42.5
5x10,4,30,40,3,-35,42.5
5x10,4,50,40,3,-55,42.5
5x10,4,60,40,3,-65,42.5
20x20,3,0,0,6,-10,-10
20x20,3,20,0,6,-30,-10
20x20,3,0,20,6,-10,-30
20x20,3,20,20,6,-30,-30
20x20,3,40,20,6,-50,-30
20x20,4,20,0,6,-30,10
20x20,4,60,0,6,-70,10
20x20,4,0,20,6,-10,30
20x20,4,40,20,6,-50,30
20x20,4,60,20,6,-70,30
1x1,1,0,0,1,0.5,0.5
1x1,1,1,0,1,1.5,0.5
1x1,1,2,0,1,2.5,0.5
1x1,1,3,0,1,3.5,0.5
1x1,1,4,0,1,4.5,0.5
1x1,1,5,0,1,5.5,0.5
1x1,1,6,0,1,6.5,0.5
1x1,1,7,0,1,7.5,0.5
1x1,1,8,0,1,8.5,0.5
1x1,1,9,0,1,9.5,0.5
1x1,1,0,1,1,0.5,1.5
1x1,1,1,1,1,1.5,1.5
1x1,1,2,1,1,2.5,1.5
1x1,1,3,1,1,3.5,1.5
1x1,1,4,1,1,4.5,1.5
1x1,1,5,1,1,5.5,1.5
1x1,1,6,1,1,6.5,1.5
1x1,1,7,1,1,7.5,1.5
1x1,1,8,1,1,8.5,1.5
1x1,1,9,1,1,9.5,1.5
1x1,1,0,2,1,0.5,2.5
1x1,1,1,2,1,1.5,2.5
1x1,1,2,2,1,2.5,2.5
1x1,1,3,2,1,3.5,2.5
1x1,1,4,2,1,4.5,2.5
1x1,1,5,2,1,5.5,2.5
1x1,1,6,2,1,6.5,2.5
1x1,1,7,2,1,7.5,2.5
1x1,1,8,2,1,8.5,2.5
1x1,1,9,2,1,9.5,2.5
1x1,1,0,3,1,0.5,3.5
1x1,1,1,3,1,1.5,3.5
1x1,1,2,3,1,2.5,3.5
1x1,1,3,3,1,3.5,3.5
1x1,1,4,3,1,4.5,3.5
1x1,1,5,3,1,5.5,3.5
1x1,1,6,3,1,6.5,3.5
1x1,1,7,3,1,7.5,3.5
1x1,1,8,3,1,8.5,3.5
1x1,1,9,3,1,9.5,3.5
1x1,1,0,4,1,0.5,4.5
1x1,1,1,4,1,1.5,4.5
1x1,1,2,4,1,2.5,4.5
1x1,1,3,4,1,3.5,4.5
1x1,1,4,4,1,4.5,4.5
1x1,1,5,4,1,5.5,4.5
1x1,1,6,4,1,6.5,4.5
1x1,1,7,4,1,7.5,4.5
1x1,1,8,4,1,8.5,4.5
1x1,1,9,4,1,9.5,4.5
1x1,1,10,4,1,10.5,4.5
1x1,1,0,5,1,0.5,5.5
1x1,1,1,5,1,1.5,5.5
1x1,1,2,5,1,2.5,5.5
1x1,1,3,5,1,3.5,5.5
1x1,1,4,5,1,4.5,5.5
1x1,1,5,5,1,5.5,5.5
1x1,1,6,5,1,6.5,5.5
1x1,1,8,5,1,8.5,5.5
1x1,1,9,5,1,9.5,5.5
1x1,1,0,6,1,0.5,6.5
1x1,1,1,6,1,1.5,6.5
1x1,1,2,6,1,2.5,6.5
1x1,1,3,6,1,3.5,6.5
1x1,1,4,6,1,4.5,6.5
1x1,1,7,6,1,7.5,6.5
1x1,1,8,6,1,8.5,6.5
1x1,1,1,7,1,1.5,7.5
1x1,1,4,7,1,4.5,7.5
1x1,1,16,14,1,16.5,14.5
1x1,1,17,14,1,17.5,14.5
1x1,1,17,15,1,17.5,15.5
1x1,1,16,16,1,16.5,16.5
1x1,1,15,20,1,15.5,20.5
1x1,1,17,20,1,17.5,20.5
1x1,1,18,20,1,18.5,20.5
1x1,1,18,30,1,18.5,30.5
1x1,1,19,30,1,19.5,30.5
1x1,1,16,31,1,16.5,31.5
1x1,1,17,31,1,17.5,31.5
1x1,1,18,31,1,18.5,31.5
1x1,1,29,31,1,29.5,31.5
1x1,1,33,31,1,33.5,31.5
1x1,1,14,32,1,14.5,32.5
1x1,1,15,32,1,15.5,32.5
1x1,1,16,32,1,16.5,32.5
1x1,1,17,32,1,17.5,32.5
1x1,1,20,32,1,20.5,32.5
1x1,1,31,32,1,31.5,32.5
1x1,1,33,32,1,33.5,32.5
1x1,1,12,33,1,12.5,33.5
1x1,1,13,33,1,13.5,33.5
1x1,1,14,33,1,14.5,33.5
1x1,1,15,33,1,15.5,33.5
1x1,1,37,33,1,37.5,33.5
1x1,1,3,34,1,3.5,34.5
1x1,1,5,34,1,5.5,34.5
1x1,1,10,34,1,10.5,34.5
1x1,1,11,34,1,11.5,34.5
1x1,1,12,34,1,12.5,34.5
1x1,1,13,34,1,13.5,34.5
1x1,1,14,34,1,14.5,34.5
1x1,1,15,34,1,15.5,34.5
1x1,1,18,34,1,18.5,34.5
1x1,1,19,34,1,19.5,34.5
1x1,1,33,34,1,33.5,34.5
1x1,1,0,35,1,0.5,35.5
1x1,1,1,35,1,1.5,35.5
1x1,1,5,35,1,5.5,35.5
1x1,1,10,35,1,10.5,35.5
1x1,1,11,35,1,11.5,35.5
1x1,1,12,35,1,12.5,35.5
1x1,1,13,35,1,13.5,35.5
1x1,1,14,35,1,14.5,35.5
1x1,1,35,35,1,35.5,35.5
1x1,1,0,36,1,0.5,36.5
1x1,1,1,36,1,1.5,36.5
1x1,1,2,36,1,2.5,36.5
1x1,1,3,36,1,3.5,36.5
1x1,1,6,36,1,6.5,36.5
1x1,1,10,36,1,10.5,36.5
1x1,1,11,36,1,11.5,36.5
1x1,1,12,36,1,12.5,36.5
1x1,1,13,36,1,13.5,36.5
1x1,1,14,36,1,14.5,36.5
1x1,1,15,36,1,15.5,36.5
1x1,1,30,36,1,30.5,36.5
1x1,1,31,36,1,31.5,36.5
1x1,1,0,37,1,0.5,37.5
1x1,1,1,37,1,1.5,37.5
1x1,1,2,37,1,2.5,37.5
1x1,1,3,37,1,3.5,37.5
1x1,1,4,37,1,4.5,37.5
1x1,1,5,37,1,5.5,37.5
1x1,1,6,37,1,6.5,37.5
1x1,1,7,37,1,7.5,37.5
1x1,1,8,37,1,8.5,37.5
1x1,1,10,37,1,10.5,37.5
1x1,1,11,37,1,11.5,37.5
1x1,1,12,37,1,12.5,37.5
1x1,1,13,37,1,13.5,37.5
1x1,1,15,37,1,15.5,37.5
1x1,1,16,37,1,16.5,37.5
1x1,1,25,37,1,25.5,37.5
1x1,1,0,38,1,0.5,38.5
1x1,1,1,38,1,1.5,38.5
1x1,1,2,38,1,2.5,38.5
1x1,1,3,38,1,3.5,38.5
1x1,1,4,38,1,4.5,38.5
1x1,1,5,38,1,5.5,38.5
1x1,1,6,38,1,6.5,38.5
1x1,1,7,38,1,7.5,38.5
1x1,1,8,38,1,8.5,38.5
1x1,1,9,38,1,9.5,38.5
1x1,1,10,38,1,10.5,38.5
1x1,1,11,38,1,11.5,38.5
1x1,1,12,38,1,12.5,38.5
1x1,1,13,38,1,13.5,38.5
1x1,1,14,38,1,14.5,38.5
1x1,1,15,38,1,15.5,38.5
1x1,1,26,38,1,26.5,38.5
1x1,1,0,39,1,0.5,39.5
1x1,1,1,39,1,1.5,39.5
1x1,1,2,39,1,2.5,39.5
1x1,1,3,39,1,3.5,39.5
1x1,1,4,39,1,4.5,39.5
1x1,1,8,39,1,8.5,39.5
1x1,1,9,39,1,9.5,39.5
1x1,1,10,39,1,10.5,39.5
1x1,1,12,39,1,12.5,39.5
1x1,1,14,39,1,14.5,39.5
1x1,1,15,39,1,15.5,39.5
1x1,1,17,39,1,17.5,39.5
1x1,1,0,40,1,0.5,40.5
1x1,1,1,40,1,1.5,40.5
1x1,1,2,40,1,2.5,40.5
1x1,1,3,40,1,3.5,40.5
