BigCellID,BigCellTypeID,x,y
454,1,-73.5,44.5
455,1,-72.5,11.5
456,1,-72.5,12.5
457,1,-72.5,13.5
458,1,-72.5,14.5
459,1,-72.5,15.5
460,1,-72.5,16.5
461,1,-72.5,17.5
462,1,-72.5,18.5
463,1,-72.5,19.5
464,1,-72.5,20.5
465,1,-72.5,21.5
466,1,-72.5,22.5
467,1,-72.5,23.5
468,1,-72.5,24.5
469,1,-72.5,25.5
470,1,-72.5,26.5
471,1,-72.5,27.5
472,1,-72.5,28.5
473,1,-72.5,29.5
474,1,-72.5,30.5
475,1,-72.5,31.5
476,1,-72.5,32.5
477,1,-72.5,33.5
478,1,-72.5,34.5
479,1,-72.5,35.5
480,1,-72.5,36.5
481,1,-72.5,37.5
482,1,-72.5,38.5
483,1,-72.5,39.5
484,1,-72.5,40.5
485,1,-72.5,41.5
486,1,-72.5,45.5
487,1,-71.5,10.5
488,1,-71.5,11.5
489,1,-71.5,12.5
490,1,-71.5,13.5
491,1,-71.5,14.5
492,1,-71.5,15.5
493,1,-71.5,16.5
494,1,-71.5,17.5
495,1,-71.5,18.5
496,1,-71.5,20.5
497,1,-71.5,21.5
498,1,-71.5,22.5
499,1,-71.5,23.5
500,1,-71.5,26.5
501,1,-71.5,27.5
502,1,-71.5,28.5
503,1,-71.5,29.5
504,1,-71.5,30.5
505,1,-71.5,31.5
506,1,-71.5,32.5
507,1,-71.5,33.5
508,1,-71.5,34.5
509,1,-71.5,35.5
510,1,-71.5,36.5
511,1,-71.5,37.5
512,1,-71.5,38.5
513,1,-71.5,39.5
514,1,-71.5,40.5
515,1,-71.5,41.5
516,1,-71.5,42.5
517,1,-70.5,11.5
518,1,-70.5,12.5
519,1,-70.5,13.5
520,1,-70.5,14.5
521,1,-70.5,15.5
522,1,-70.5,16.5
523,1,-70.5,17.5
524,1,-70.5,18.5
525,1,-70.5,20.5
526,1,-70.5,21.5
527,1,-70.5,22.5
528,1,-70.5,24.5
529,1,-70.5,25.5
530,1,-70.5,26.5
531,1,-70.5,27.5
532,1,-70.5,28.5
533,1,-70.5,29.5
534,1,-70.5,30.5
535,1,-70.5,31.5
536,1,-70.5,32.5
537,1,-70.5,33.5
538,1,-70.5,34.5
539,1,-70.5,35.5
540,1,-70.5,36.5
541,1,-70.5,37.5
542,1,-70.5,38.5
543,1,-70.5,39.5
544,1,-70.5,40.5
545,1,-70.5,41.5
546,1,-70.5,42.5
547,1,-70.5,43.5
548,1,-70.5,45.5
549,1,-69.5,11.5
550,1,-69.5,12.5
551,1,-69.5,13.5
552,1,-69.5,14.5
553,1,-69.5,15.5
554,1,-69.5,16.5
555,1,-69.5,17.5
556,1,-69.5,18.5
557,1,-69.5,19.5
558,1,-69.5,20.5
559,1,-69.5,21.5
560,1,-69.5,22.5
561,1,-69.5,23.5
562,1,-69.5,24.5
563,1,-69.5,25.5
564,1,-69.5,26.5
565,1,-69.5,27.5
566,1,-69.5,28.5
567,1,-69.5,29.5
568,1,-69.5,30.5
569,1,-69.5,31.5
570,1,-69.5,32.5
571,1,-69.5,34.5
572,1,-69.5,35.5
573,1,-69.5,36.5
574,1,-69.5,37.5
575,1,-69.5,38.5
576,1,-69.5,39.5
577,1,-69.5,40.5
578,1,-69.5,41.5
579,1,-69.5,42.5
580,1,-69.5,43.5
581,1,-69.5,44.5
582,1,-68.5,-51.5
583,1,-68.5,-50.5
584,1,-68.5,10.5
585,1,-68.5,11.5
586,1,-68.5,12.5
587,1,-68.5,13.5
588,1,-68.5,14.5
589,1,-68.5,15.5
590,1,-68.5,16.5
591,1,-68.5,17.5
592,1,-68.5,18.5
593,1,-68.5,19.5
594,1,-68.5,20.5
595,1,-68.5,21.5
596,1,-68.5,22.5
597,1,-68.5,24.5
598,1,-68.5,25.5
599,1,-68.5,26.5
600,1,-68.5,27.5
601,1,-68.5,28.5
602,1,-68.5,29.5
603,1,-68.5,30.5
604,1,-68.5,33.5
605,1,-68.5,34.5
606,1,-68.5,35.5
607,1,-68.5,36.5
608,1,-68.5,37.5
609,1,-68.5,38.5
610,1,-68.5,39.5
611,1,-68.5,40.5
612,1,-68.5,41.5
613,1,-68.5,42.5
614,1,-68.5,43.5
615,1,-67.5,-52.5
616,1,-67.5,-51.5
617,1,-67.5,10.5
618,1,-67.5,11.5
619,1,-67.5,12.5
620,1,-67.5,13.5
621,1,-67.5,14.5
622,1,-67.5,15.5
623,1,-67.5,16.5
624,1,-67.5,17.5
625,1,-67.5,18.5
626,1,-67.5,19.5
627,1,-67.5,20.5
628,1,-67.5,21.5
629,1,-67.5,22.5
630,1,-67.5,23.5
631,1,-67.5,24.5
632,1,-67.5,25.5
633,1,-67.5,26.5
634,1,-67.5,27.5
635,1,-67.5,28.5
636,1,-67.5,29.5
637,1,-67.5,30.5
638,1,-67.5,31.5
639,1,-67.5,32.5
640,1,-67.5,33.5
641,1,-67.5,34.5
642,1,-67.5,35.5
643,1,-67.5,36.5
644,1,-67.5,37.5
645,1,-67.5,38.5
646,1,-67.5,39.5
647,1,-67.5,40.5
648,1,-67.5,41.5
649,1,-67.5,42.5
650,1,-67.5,43.5
651,1,-67.5,44.5
652,1,-67.5,47.5
653,1,-66.5,-52.5
654,1,-66.5,-51.5
655,1,-66.5,10.5
656,1,-66.5,11.5
